propertyId,propertyType,salePrice,area,areac,rooms,bathrooms,garages,city,zone,neighborhood,commonNeighborhood,adminPrice,companyName,propertyState,coordinates,link,builtTime,stratum,Extraction Date
2266-M5776069,"{'id': '14', 'nombre': 'Apartaestudio'}",275000000,21.0,21.0,1,1,0,"{'id': '1', 'nombre': 'Bogotá D.C.'}","{'id': '1', 'nombre': 'Norte'}",CHICO NORTE ET  III,Chico,330000.0,Boutique de Bienes Raices,Usado,"{'lon': -74.05714, 'lat': 4.6842384}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-chico-norte-et.-iii-1-habitaciones-1-banos/2266-M5776069,Entre 0 y 5 años,6,2025-08-16
897-M5549786,"{'id': '14', 'nombre': 'Apartaestudio'}",480000000,57.6,57.6,1,2,1,"{'id': '1', 'nombre': 'Bogotá D.C.'}",,SAN PATRICIO,San Patricio,784000.0,L2L BIENES RAÍCES SAS,Usado,"{'lon': -74.0474, 'lat': 4.69322}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-san-patricio-1-habitaciones-2-banos-1-garajes/897-M5549786,Entre 0 y 5 años,6,2025-08-16
MC4916252,"{'id': '1', 'nombre': 'Apartamento'}",326000000,33.0,33.0,1,1,1,"{'id': '1', 'nombre': 'Bogotá D.C.'}","{'id': '1', 'nombre': 'Norte'}",SANTA ANA OCCIDENTAL,SANTA ANA OCCIDENTAL   Chicó,0.0,,Usado,"{'lon': -74.03431, 'lat': 4.6919594}",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-santa-ana-occidental-1-habitaciones-1-banos-1-garajes/MC4916252,Remodelado,6,2025-08-16
MC5967938,"{'id': '1', 'nombre': 'Apartamento'}",520000000,65.6,65.6,1,1,1,"{'id': '1', 'nombre': 'Bogotá D.C.'}","{'id': '1', 'nombre': 'Norte'}",BELLAVISTA,LOS ROSALES   Chicó,700000.0,,Usado,"{'lon': -74.05196, 'lat': 4.6561055}",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bellavista-1-habitaciones-1-banos-1-garajes/MC5967938,Más de 20 años,6,2025-08-16
MC5985346,"{'id': '1', 'nombre': 'Apartamento'}",225000000,15.57,17.97,1,1,0,"{'id': '1', 'nombre': 'Bogotá D.C.'}","{'id': '2', 'nombre': 'Chapinero'}",CJR URBAN 9 60,CHAPINERO CENTRAL   Chicó,225000.0,,Usado,"{'lon': -74.06254, 'lat': 4.6461678}",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-cjr-urban-9-60-1-habitaciones-1-banos/MC5985346,Entre 0 y 5 años,3,2025-08-16
MC5818119,"{'id': '14', 'nombre': 'Apartaestudio'}",280000000,27.4,30.5,1,1,1,"{'id': '1', 'nombre': 'Bogotá D.C.'}","{'id': '2', 'nombre': 'Chapinero'}",LOS OLIVOS,CHAPINERO ALTO  ,323100.0,,Usado,"{'lon': -74.05414, 'lat': 4.6441975}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-los-olivos-1-habitaciones-1-banos-1-garajes/MC5818119,Entre 0 y 5 años,4,2025-08-16
20744-M5985177,"{'id': '14', 'nombre': 'Apartaestudio'}",230000000,18.0,18.0,1,1,1,"{'id': '1', 'nombre': 'Bogotá D.C.'}","{'id': '102', 'nombre': 'Otros'}",CHAPINERO CENTRAL,CHAPINERO CENTRAL,230000.0,LEOCARBAR,Usado,"{'lon': -74.06208, 'lat': 4.6458297}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-chapinero-central-1-habitaciones-1-banos-1-garajes/20744-M5985177,Entre 10 y 20 años,3,2025-08-16
MC5993186,"{'id': '1', 'nombre': 'Apartamento'}",400000000,46.0,46.0,1,2,1,"{'id': '1', 'nombre': 'Bogotá D.C.'}","{'id': '1', 'nombre': 'Norte'}",LAS ACASIAS,CEDRITOS   Chicó,410000.0,,Usado,"{'lon': -74.03219, 'lat': 4.7229953}",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-las-acasias-1-habitaciones-2-banos-1-garajes/MC5993186,Entre 5 y 10 años,5,2025-08-16
MC5993925,"{'id': '14', 'nombre': 'Apartaestudio'}",260000000,27.9,30.0,1,1,1,"{'id': '1', 'nombre': 'Bogotá D.C.'}","{'id': '3', 'nombre': 'Noroccidente'}",PASADENA,PASADENA   Niza Alhambra,265000.0,,Usado,"{'lon': -74.06159, 'lat': 4.689621}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-pasadena-1-habitaciones-1-banos-1-garajes/MC5993925,Entre 0 y 5 años,5,2025-08-16
MC5634079,"{'id': '1', 'nombre': 'Apartamento'}",400000000,41.17,45.58,1,2,1,"{'id': '1', 'nombre': 'Bogotá D.C.'}","{'id': '5', 'nombre': 'Centro'}",BOSQUE IZQUIERDO,BOSQUE IZQUIERDO   Centro Internacional,380000.0,,Usado,"{'lon': -74.06597, 'lat': 4.610426}",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-2-banos-1-garajes/MC5634079,Entre 5 y 10 años,4,2025-08-16
