propertyId,propertyType,salePrice,area,areac,rooms,bathrooms,garages,city,zone,neighborhood,commonNeighborhood,adminPrice,companyName,propertyState,coordinates,link,builtTime,stratum,Extraction Date
16958-M4885846,"{'id': '14', 'nombre': 'Apartaestudio'}",230000000,42.11,42.11,1,1,0,"{'id': '4456', 'nombre': 'Itagui'}",,LA ESMERALDA,La Esmeralda,88300.0,SUEÑE CON CASA,Usado,"{'lon': -75.595345, 'lat': 6.1788716}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-itagui-la-esmeralda-1-habitaciones-1-banos/16958-M4885846,Entre 10 y 20 años,3,2025-01-14
12792-M4500756,"{'id': '1', 'nombre': 'Apartamento'}",450000000,38.0,38.0,1,1,0,"{'id': '4456', 'nombre': 'Itagui'}",,ITAGÜÍ  SAN GABRIEL,ITAGÜÍ  SAN GABRIEL,0.0,INMOBILIAREA,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-apartamento-itagui-itagui-san-gabriel-1-habitaciones-1-banos/12792-M4500756,Entre 0 y 5 años,2,2025-01-14
11014-M4706806,"{'id': '1', 'nombre': 'Apartamento'}",340000000,60.0,60.0,1,2,1,"{'id': '4456', 'nombre': 'Itagui'}",,NA,El Guayabo,180000.0,VIVAREA SAS,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-apartamento-itagui-na-1-habitaciones-2-banos-1-garajes/11014-M4706806,Entre 0 y 5 años,3,2025-01-14
11224-M5349521,"{'id': '1', 'nombre': 'Apartamento'}",350000000,70.0,85.0,1,1,1,"{'id': '4456', 'nombre': 'Itagui'}",,DITAIRES,Ditaires,,SOTELO INMOBILIARIA S.A.S,Usado,"{'lon': -75.62687, 'lat': 6.169121}",https://www.metrocuadrado.com/inmueble/venta-apartamento-itagui-ditaires-1-habitaciones-1-banos-1-garajes/11224-M5349521,Entre 5 y 10 años,3,2025-01-14
18518-M5496163,"{'id': '14', 'nombre': 'Apartaestudio'}",239000000,48.0,48.0,1,1,0,"{'id': '4456', 'nombre': 'Itagui'}",,VILLA PAULA,Centro,120000.0,EPICASA PROPIEDAD RAIZ SAS,Usado,"{'lon': -75.60594, 'lat': 6.17442}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-itagui-villa-paula-1-habitaciones-1-banos/18518-M5496163,Entre 0 y 5 años,3,2025-01-14
11166-M5274286,"{'id': '14', 'nombre': 'Apartaestudio'}",270000000,45.0,45.0,1,1,1,"{'id': '4456', 'nombre': 'Itagui'}",,GLORIETA PILSEN,Suramerica,,MAXIBIENES SAS,Usado,"{'lon': -75.6188, 'lat': 6.16829}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-itagui-glorieta-pilsen-1-habitaciones-1-banos-1-garajes/11166-M5274286,Entre 10 y 20 años,4,2025-01-14
2895-M4790396,"{'id': '14', 'nombre': 'Apartaestudio'}",150000000,4.0,27.0,1,1,0,"{'id': '4456', 'nombre': 'Itagui'}",,GLORIETA PILSEN,San Pio,,GRUPO EMPRESARIAL MONOPOLIO INMOBILIARIO,Usado,"{'lon': -75.61905, 'lat': 6.168524}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-itagui-glorieta-pilsen-1-habitaciones-1-banos/2895-M4790396,Entre 5 y 10 años,3,2025-01-14
17021-M5483395,"{'id': '1', 'nombre': 'Apartamento'}",525745000,60.0,60.0,1,2,1,"{'id': '4456', 'nombre': 'Itagui'}",,SANTA CATALINA,Suramerica,350000.0,HABITAMOS PROPIEDAD RAIZ,Usado,"{'lon': -75.62921, 'lat': 6.1640263}",https://www.metrocuadrado.com/inmueble/venta-apartamento-itagui-santa-catalina-1-habitaciones-2-banos-1-garajes/17021-M5483395,Entre 0 y 5 años,3,2025-01-14
2895-M5105304,"{'id': '14', 'nombre': 'Apartaestudio'}",280000000,48.0,48.0,1,5,0,"{'id': '4456', 'nombre': 'Itagui'}",,SANTA CATALINA,Suramerica,288000.0,GRUPO EMPRESARIAL MONOPOLIO INMOBILIARIO,Usado,"{'lon': -75.63123, 'lat': 6.163185}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-itagui-santa-catalina-1-habitaciones-5-banos/2895-M5105304,Entre 10 y 20 años,4,2025-01-14
2895-M3376160,"{'id': '1', 'nombre': 'Apartamento'}",140000000,39.0,39.0,1,1,0,"{'id': '4456', 'nombre': 'Itagui'}",,CENTRO,Los Naranjos,,GRUPO EMPRESARIAL MONOPOLIO INMOBILIARIO,Usado,"{'lon': -75.61903, 'lat': 6.1681833}",https://www.metrocuadrado.com/inmueble/venta-apartamento-itagui-centro-1-habitaciones-1-banos/2895-M3376160,Entre 10 y 20 años,3,2025-01-14
2895-M4931140,"{'id': '14', 'nombre': 'Apartaestudio'}",180000000,37.8,37.8,1,1,0,"{'id': '4456', 'nombre': 'Itagui'}",,CENTRO,La Gloria,35000.0,GRUPO EMPRESARIAL MONOPOLIO INMOBILIARIO,Usado,"{'lon': -75.60968, 'lat': 6.168553}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-itagui-centro-1-habitaciones-1-banos/2895-M4931140,Más de 20 años,3,2025-01-14
2895-M4726450,"{'id': '14', 'nombre': 'Apartaestudio'}",185000000,40.0,40.0,1,5,0,"{'id': '4456', 'nombre': 'Itagui'}",,NA,Los Naranjos,,GRUPO EMPRESARIAL MONOPOLIO INMOBILIARIO,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-itagui-na-1-habitaciones-5-banos/2895-M4726450,Más de 20 años,3,2025-01-14
5606-M5371613,"{'id': '1', 'nombre': 'Apartamento'}",430000000,60.0,60.0,1,2,1,"{'id': '4456', 'nombre': 'Itagui'}",,SANTA CATALINA,Suramerica,,CONALTURA INMOBILIARIA,Usado,,https://www.metrocuadrado.com/inmueble/venta-apartamento-itagui-santa-catalina-1-habitaciones-2-banos-1-garajes/5606-M5371613,Entre 0 y 5 años,4,2025-01-14
2214-M5408926,"{'id': '1', 'nombre': 'Apartamento'}",450000000,60.0,60.0,1,2,0,"{'id': '4456', 'nombre': 'Itagui'}",,SANTA CATALINA,Suramerica,380000.0,ACRECER SAS,Usado,"{'lon': -75.628265, 'lat': 6.162968}",https://www.metrocuadrado.com/inmueble/venta-apartamento-itagui-santa-catalina-1-habitaciones-2-banos/2214-M5408926,Entre 0 y 5 años,4,2025-01-14
2895-M3377658,"{'id': '1', 'nombre': 'Apartamento'}",155000000,59.0,59.0,1,2,0,"{'id': '4456', 'nombre': 'Itagui'}",,CENTRO,Loma Linda,,GRUPO EMPRESARIAL MONOPOLIO INMOBILIARIO,Usado,"{'lon': -75.60742, 'lat': 6.173832}",https://www.metrocuadrado.com/inmueble/venta-apartamento-itagui-centro-1-habitaciones-2-banos/2895-M3377658,Entre 10 y 20 años,3,2025-01-14
5606-M4865829,"{'id': '1', 'nombre': 'Apartamento'}",510000000,72.0,72.0,1,2,1,"{'id': '4456', 'nombre': 'Itagui'}",,SANTA CATALINA,Suramerica,,CONALTURA INMOBILIARIA,Usado,,https://www.metrocuadrado.com/inmueble/venta-apartamento-itagui-santa-catalina-1-habitaciones-2-banos-1-garajes/5606-M4865829,Entre 0 y 5 años,4,2025-01-14
16215-M4721539,"{'id': '1', 'nombre': 'Apartamento'}",285000000,48.0,48.0,1,2,1,"{'id': '4456', 'nombre': 'Itagui'}",,DITAIRES,Sur America,195000.0,CASAS CONFORT,Usado,"{'lon': -75.639305, 'lat': 6.164072}",https://www.metrocuadrado.com/inmueble/venta-apartamento-itagui-ditaires-1-habitaciones-2-banos-1-garajes/16215-M4721539,Entre 0 y 5 años,4,2025-01-14
