propertyId,propertyType,salePrice,area,areac,rooms,bathrooms,garages,city,zone,neighborhood,commonNeighborhood,adminPrice,companyName,propertyState,coordinates,link,builtTime,stratum,Extraction Date
22392-M6539928,"{'id': '14', 'nombre': 'Apartaestudio'}",450000000,50.0,50.0,1,1,1,"{'id': '4483', 'nombre': 'Sabaneta'}",,AVES MARIA,Aves Maria,391000.0,FARHANA  INMOBILIARIA SAS,Usado,"{'lon': -75.6105, 'lat': 6.1456785}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-sabaneta-aves-maria-1-habitaciones-1-banos-1-garajes/22392-M6539928,Entre 5 y 10 años,4,2026-07-11
21891-M6776345,"{'id': '1', 'nombre': 'Apartamento'}",230000000,27.0,27.0,1,1,1,"{'id': '4483', 'nombre': 'Sabaneta'}",,SABANETA,Sabaneta,514000.0,TODO CON  PROPIEDAD S.A.S,Usado,"{'lon': -75.6156, 'lat': 6.15437}",https://www.metrocuadrado.com/inmueble/venta-apartamento-sabaneta-sabaneta-1-habitaciones-1-banos-1-garajes/21891-M6776345,Remodelado,6,2026-07-11
17798-M6290424,"{'id': '14', 'nombre': 'Apartaestudio'}",600000000,53.0,53.0,1,1,1,"{'id': '4483', 'nombre': 'Sabaneta'}",,SUR,Sur,407000.0,HOMES u0026 HOUSES,Usado,"{'lon': -75.60579, 'lat': 6.160438}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-sabaneta-sur-1-habitaciones-1-banos-1-garajes/17798-M6290424,Entre 0 y 5 años,4,2026-07-11
21472-M6550196,"{'id': '1', 'nombre': 'Apartamento'}",350000000,50.0,50.0,1,2,0,"{'id': '4483', 'nombre': 'Sabaneta'}",,OTRO,Otro,,GRUPO SANTAMARIA,Usado,"{'lon': -75.62192, 'lat': 6.152671}",https://www.metrocuadrado.com/inmueble/venta-apartamento-sabaneta-otro-1-habitaciones-2-banos/21472-M6550196,Entre 0 y 5 años,4,2026-07-11
19700-M5739511,"{'id': '1', 'nombre': 'Apartamento'}",370000000,52.0,52.0,1,1,0,"{'id': '4483', 'nombre': 'Sabaneta'}",,SAN JOAQUIN,Sabaneta,147000.0,INMOBILIARIA ANTIOQUIA SAS,Usado,"{'lon': -75.61449, 'lat': 6.150183}",https://www.metrocuadrado.com/inmueble/venta-apartamento-sabaneta-san-joaquin-1-habitaciones-1-banos/19700-M5739511,Entre 0 y 5 años,3,2026-07-11
16974-M6171248,"{'id': '14', 'nombre': 'Apartaestudio'}",270000000,39.5,39.5,1,1,0,"{'id': '4483', 'nombre': 'Sabaneta'}",,CALLE LARGA,Calle Larga,,VIVA INMOBILIARIA,Usado,"{'lon': -75.61993, 'lat': 6.1511154}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-sabaneta-calle-larga-1-habitaciones-1-banos/16974-M6171248,Entre 0 y 5 años,2,2026-07-11
21472-M6361643,"{'id': '1', 'nombre': 'Apartamento'}",570000000,50.0,50.0,1,1,1,"{'id': '4483', 'nombre': 'Sabaneta'}",,LA DOCTORA,La Doctora,,GRUPO SANTAMARIA,Usado,"{'lon': -75.6022, 'lat': 6.151991}",https://www.metrocuadrado.com/inmueble/venta-apartamento-sabaneta-la-doctora-1-habitaciones-1-banos-1-garajes/21472-M6361643,Entre 0 y 5 años,4,2026-07-11
22583-M6579989,"{'id': '1', 'nombre': 'Apartamento'}",450000000,73.0,73.0,1,2,1,"{'id': '4483', 'nombre': 'Sabaneta'}",,AVES MARIA,Aves Maria,300000.0,INVERSIONES ALVAREZ CUELLO S.A.S.,Usado,"{'lon': -75.60256, 'lat': 6.2697325}",https://www.metrocuadrado.com/inmueble/venta-apartamento-sabaneta-aves-maria-1-habitaciones-2-banos-1-garajes/22583-M6579989,Entre 10 y 20 años,4,2026-07-11
20033-M6807316,"{'id': '1', 'nombre': 'Apartamento'}",320000000,36.0,36.0,1,1,1,"{'id': '4483', 'nombre': 'Sabaneta'}",,BETANIA,Betania,290000.0,AGENCIA INMOBILIARIA,Usado,"{'lon': -75.61603, 'lat': 6.1508064}",https://www.metrocuadrado.com/inmueble/venta-apartamento-sabaneta-betania-1-habitaciones-1-banos-1-garajes/20033-M6807316,Entre 5 y 10 años,4,2026-07-11
23248-M6814782,"{'id': '14', 'nombre': 'Apartaestudio'}",380000000,35.0,35.0,1,1,1,"{'id': '4483', 'nombre': 'Sabaneta'}",,AVENIDA LAS VEGAS,Avenida Las Vegas,400000.0,Inmobiliaria En Punto,Usado,"{'lon': -75.61895, 'lat': 6.1501803}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-sabaneta-avenida-las-vegas-1-habitaciones-1-banos-1-garajes/23248-M6814782,Entre 0 y 5 años,4,2026-07-11
11086-M5988988,"{'id': '1', 'nombre': 'Apartamento'}",360000000,51.0,51.0,1,1,0,"{'id': '4483', 'nombre': 'Sabaneta'}","{'id': '102', 'nombre': 'Otros'}",SAN JOAQUIN,Parque principal,194466.0,ONE Grupo Inmobiliario,Usado,"{'lon': -75.61443, 'lat': 6.150952}",https://www.metrocuadrado.com/inmueble/venta-apartamento-sabaneta-san-joaquin-1-habitaciones-1-banos/11086-M5988988,Entre 5 y 10 años,3,2026-07-11
16974-M6716608,"{'id': '14', 'nombre': 'Apartaestudio'}",385000000,36.0,36.0,1,1,1,"{'id': '4483', 'nombre': 'Sabaneta'}",,CALLE LARGA,Calle Larga,242000.0,VIVA INMOBILIARIA,Usado,"{'lon': -75.621315, 'lat': 6.1525054}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-sabaneta-calle-larga-1-habitaciones-1-banos-1-garajes/16974-M6716608,Entre 5 y 10 años,4,2026-07-11
14973-M6676231,"{'id': '14', 'nombre': 'Apartaestudio'}",390000000,50.0,50.0,1,2,1,"{'id': '4483', 'nombre': 'Sabaneta'}",,VEGAS DE SAN JOSE,Sabaneta,,AGENTES INMOBILIARIOS G8,Usado,"{'lon': -75.6181, 'lat': 6.1406794}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-sabaneta-vegas-de-san-jose-1-habitaciones-2-banos-1-garajes/14973-M6676231,Entre 0 y 5 años,4,2026-07-11
18538-M6102928,"{'id': '14', 'nombre': 'Apartaestudio'}",360000000,46.0,46.0,1,2,1,"{'id': '4483', 'nombre': 'Sabaneta'}",,LAS VEGAS  ESTACION METRO,Las Vegas  Estacion Metro,232000.0,IDH INMOBILIARIOS VIP,Usado,"{'lon': -75.62393, 'lat': 6.152033}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-sabaneta-las-vegas-estacion-metro-1-habitaciones-2-banos-1-garajes/18538-M6102928,Entre 5 y 10 años,4,2026-07-11
