link,code,Precio,Baños,Área,Habitaciones,Garajes,Closets,Municipio,Barrio,Extraction Date
https://www.lalonjapropiedadraiz.com/inmueble/9772/Venta/,9772,"$160,000,000",1,70m,2,0,1,Bello,Villas De Comfenalco,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/4415/Venta/,4415,"$160,000,000",1,65m,3,0,1,Bello,Villas Del Sol,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/9960/Venta/,9960,"$168,000,000",1,72m,3,0,0,Bello,Niquia,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/7398/Venta/,7398,"$260,000,000",3,180m,6,0,2,Bello,La Aldea,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/10159/Venta/,10159,"$260,000,000",2,102m,6,0,2,Bello,Mirador,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/9061/Venta/,9061,"$265,000,000",2,60m,3,0,2,Bello,Obrero,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/9634/Venta/,9634,"$265,000,000",3,120m,4,0,3,Bello,Prado,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/10040/Venta/,10040,"$270,000,000",3,116m,5,1,3,Bello,Mirador,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/10615/Venta/,10615,"$280,000,000",2,125m,5,0,1,Medellín,Castilla,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/10571/Venta/,10571,"$280,000,000",2,67m,4,0,0,Bello,Niquia,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/9973/Venta/,9973,"$300,000,000",2,110m,4,0,2,Bello,Salento Dos,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/9562/Venta/,9562,"$300,000,000",2,99m,3,1,1,Medellín,Manrique,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/9554/Venta/,9554,"$300,000,000",2,110m,4,0,1,Medellín,Campo Valdes,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/9577/Venta/,9577,"$310,000,000",2,97m,4,0,1,Bello,Congolo,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/8806/Venta/,8806,"$330,000,000",2,300m,6,0,0,Bello,La Cumbre,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/9817/Venta/,9817,"$335,000,000",2,108m,5,0,1,Bello,Santa Ana,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/8005/Venta/,8005,"$350,000,000",3,178m,6,0,0,Medellín,Robledo,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/10241/Venta/,10241,"$350,000,000",1,240m,4,0,0,Medellín,Manrique,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/10523/Venta/,10523,"$360,000,000",3,80m,4,0,2,Bello,Palmar De Serramonte,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/9437/Venta/,9437,"$430,000,000",2,138m,4,0,4,Bello,Cabañas,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/9190/Venta/,9190,"$455,000,000",1,160m,4,0,3,Medellín,Belen,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/9413/Venta/,9413,"$560,000,000",2,139m,5,1,4,Medellín,Laureles,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/9165/Venta/,9165,"$650,000,000",3,223m,7,0,3,Medellín,Manrique Central,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/9400/Venta/,9400,"$740,000,000",4,210m,3,1,0,Medellín,Calasanz,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/9636/Venta/,9636,"$900,000,000",3,308m,5,1,3,Medellín,Prado Centro,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/10197/Venta/,10197,"$1,050,000,000",3,140m,3,4,3,Bello,Navarra,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/9146/Venta/,9146,"$1,050,000,000",3,352m,7,1,0,Medellín,Boston,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/9309/Venta/,9309,"$1,300,000,000",7,611m,6,2,6,Medellín,Prado Centro,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/10403/Venta/,10403,"$1,400,000,000",4,2800m,3,0,3,La Estrella,La Tablaza,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/9411/Venta/,9411,"$2,700,000,000",6,402m,4,0,2,Medellín,El Poblado,2025-04-29
https://www.lalonjapropiedadraiz.com/inmueble/10164/Venta/,10164,"$2,700,000,000",5,351m,7,1,7,Medellín,Laureles,2025-04-29
