propertyId,propertyType,salePrice,area,areac,rooms,bathrooms,garages,city,zone,neighborhood,commonNeighborhood,adminPrice,companyName,propertyState,coordinates,link,builtTime,stratum,Extraction Date
11469-M5947280,"{'id': '2', 'nombre': 'Casa'}",1600000000,300.0,300.0,3,2,1,"{'id': '4414', 'nombre': 'Barbosa'}",,NA,Barbosa,,RHB RAÍZ,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-casa-barbosa-na-3-habitaciones-2-banos-1-garajes/11469-M5947280,Entre 0 y 5 años,2,2026-03-11
20811-M6386582,"{'id': '2', 'nombre': 'Casa'}",4990000000,16100.0,700.0,5,5,4,"{'id': '4414', 'nombre': 'Barbosa'}",,VEREDA POPALITO,Vereda Popalito,504000.0,COFFEE REALTY SAS,Usado,"{'lon': -75.33182, 'lat': 6.4379516}",https://www.metrocuadrado.com/inmueble/venta-casa-barbosa-vereda-popalito-5-habitaciones-5-banos-4-garajes/20811-M6386582,Entre 0 y 5 años,4,2026-03-11
11704-M5038254,"{'id': '2', 'nombre': 'Casa'}",2900000000,19210.0,456.0,4,5,0,"{'id': '4414', 'nombre': 'Barbosa'}",,BARBOSA,Barbosa,,CENTURY 21 RADIAL,Usado,"{'lon': -75.279945, 'lat': 6.4863276}",https://www.metrocuadrado.com/inmueble/venta-casa-barbosa-barbosa-4-habitaciones-5-banos/11704-M5038254,Entre 0 y 5 años,6,2026-03-11
20856-M6026066,"{'id': '2', 'nombre': 'Casa'}",560000000,200.0,200.0,4,3,1,"{'id': '5176', 'nombre': 'Barbosa'}",,BARBOSA CERCA DE LA UIS,Barbosa Cerca De La Uis,,ATOS INMOBILIARIA SAS,Usado,"{'lon': -73.62322, 'lat': 5.9554}",https://www.metrocuadrado.com/inmueble/venta-casa-barbosa-barbosa-cerca-de-la-uis-4-habitaciones-3-banos-1-garajes/20856-M6026066,Entre 0 y 5 años,2,2026-03-11
11295-M6098687,"{'id': '2', 'nombre': 'Casa'}",1570681112,530.0,530.0,4,5,1,"{'id': '5176', 'nombre': 'Barbosa'}","{'id': '102', 'nombre': 'Otros'}",,LA REVUELTA,0.0,NC BUSINESS,Usado,"{'lon': -73.60162, 'lat': 5.965494}",https://www.metrocuadrado.com/inmueble/venta-casa-barbosa-4-habitaciones-5-banos-1-garajes/11295-M6098687,Entre 0 y 5 años,2,2026-03-11
20856-M6026065,"{'id': '2', 'nombre': 'Casa'}",700000000,300.0,300.0,4,3,1,"{'id': '5176', 'nombre': 'Barbosa'}",,BARBOSA VEREDA AMARILLO,Barbosa Vereda Amarillo,,ATOS INMOBILIARIA SAS,Usado,"{'lon': -73.61632, 'lat': 5.93096}",https://www.metrocuadrado.com/inmueble/venta-casa-barbosa-barbosa-vereda-amarillo-4-habitaciones-3-banos-1-garajes/20856-M6026065,Entre 0 y 5 años,2,2026-03-11
2363-M6148777,"{'id': '2', 'nombre': 'Casa'}",1100000000,816.0,448.0,4,5,4,"{'id': '5176', 'nombre': 'Barbosa'}",,BARBOSA,Barbosa,,INMOBILIARIA AJM SAS,Usado,"{'lon': -73.63669, 'lat': 5.96831}",https://www.metrocuadrado.com/inmueble/venta-casa-barbosa-barbosa-4-habitaciones-5-banos-4-garajes/2363-M6148777,Entre 0 y 5 años,3,2026-03-11
18714-M6429576,"{'id': '2', 'nombre': 'Casa'}",450000000,5000.0,5000.0,4,3,2,"{'id': '4414', 'nombre': 'Barbosa'}",,NA,La Lomita,,URVE INMOBILIARIA  COLOMBIA S.A.S,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-casa-barbosa-na-4-habitaciones-3-banos-2-garajes/18714-M6429576,Más de 20 años,3,2026-03-11
21438-M6178347,"{'id': '2', 'nombre': 'Casa'}",1100000000,816.0,448.0,4,5,2,"{'id': '5176', 'nombre': 'Barbosa'}",,NA,Barbosa,,INTEGRITY GRUPO  INMOBILIARIO u0026  CONSTRUCTOR SAS,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-casa-barbosa-na-4-habitaciones-5-banos-2-garajes/21438-M6178347,Más de 20 años,4,2026-03-11
17237-M6162388,"{'id': '2', 'nombre': 'Casa'}",250000000,113.0,113.0,3,2,0,"{'id': '5176', 'nombre': 'Barbosa'}","{'id': '102', 'nombre': 'Otros'}",,BARBOSA SANTANDER,0.0,ASESORÍAS EL BUEN CASTILLO,Usado,"{'lon': -73.61561, 'lat': 5.93532}",https://www.metrocuadrado.com/inmueble/venta-casa-barbosa-3-habitaciones-2-banos/17237-M6162388,Remodelado,3,2026-03-11
17166-M6373335,"{'id': '2', 'nombre': 'Casa'}",450000000,3600.0,108.0,3,2,2,"{'id': '4414', 'nombre': 'Barbosa'}",,BARBOSA,Barbosa,,COMERCIAL INMOBILIARIA,Usado,"{'lon': -75.43287, 'lat': 6.406566}",https://www.metrocuadrado.com/inmueble/venta-casa-barbosa-barbosa-3-habitaciones-2-banos-2-garajes/17166-M6373335,Más de 20 años,3,2026-03-11
20856-M6026064,"{'id': '2', 'nombre': 'Casa'}",565000000,217.0,217.0,4,3,1,"{'id': '5176', 'nombre': 'Barbosa'}",,BARBOSA VEREDA AMARILLO,Barbosa Vereda Amarillo,,ATOS INMOBILIARIA SAS,Usado,"{'lon': -73.61632, 'lat': 5.93096}",https://www.metrocuadrado.com/inmueble/venta-casa-barbosa-barbosa-vereda-amarillo-4-habitaciones-3-banos-1-garajes/20856-M6026064,Entre 0 y 5 años,2,2026-03-11
10310-M5739278,"{'id': '2', 'nombre': 'Casa'}",450000000,94.0,94.0,4,2,0,"{'id': '4414', 'nombre': 'Barbosa'}",,BARBOSA ANTIOQUIA,Barbosa Antioquia,,VIVE HOME PROPIEDAD RAIZ,Usado,"{'lon': -75.3317, 'lat': 6.43765}",https://www.metrocuadrado.com/inmueble/venta-casa-barbosa-barbosa-antioquia-4-habitaciones-2-banos/10310-M5739278,Más de 20 años,3,2026-03-11
