propertyId,propertyType,salePrice,area,areac,rooms,bathrooms,garages,city,zone,neighborhood,commonNeighborhood,adminPrice,companyName,propertyState,coordinates,link,builtTime,stratum,Extraction Date
21417-M6451646,"{'id': '2', 'nombre': 'Casa'}",370000000,100.0,100.0,3,2,1,"{'id': '4416', 'nombre': 'Bello'}",,FLORIDA,Florida,,Ku0026#39;STAINMOBILIARIA  S.A.S,Usado,"{'lon': -75.55943, 'lat': 6.3190184}",https://www.metrocuadrado.com/inmueble/venta-casa-bello-florida-3-habitaciones-2-banos-1-garajes/21417-M6451646,Entre 10 y 20 años,3,2026-09-11
21417-M6451646,"{'id': '2', 'nombre': 'Casa'}",370000000,100.0,100.0,3,2,1,"{'id': '4416', 'nombre': 'Bello'}",,FLORIDA,Florida,,Ku0026#39;STAINMOBILIARIA  S.A.S,Usado,"{'lon': -75.55943, 'lat': 6.3190184}",https://www.metrocuadrado.com/inmueble/venta-casa-bello-florida-3-habitaciones-2-banos-1-garajes/21417-M6451646,Entre 10 y 20 años,3,2026-09-11
23586-M6918965,"{'id': '2', 'nombre': 'Casa'}",270000000,73.0,76.0,3,1,0,"{'id': '4416', 'nombre': 'Bello'}",,CONGOLO,,0.0,Inmobiliaria Shamanika,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-casa-bello-congolo-3-habitaciones-1-banos/23586-M6918965,Entre 5 y 10 años,3,2026-09-11
23586-M6925956,"{'id': '2', 'nombre': 'Casa'}",580000000,167.0,170.0,4,2,0,"{'id': '4416', 'nombre': 'Bello'}",,CIUDAD NIQUIA,,0.0,Inmobiliaria Shamanika,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-casa-bello-ciudad-niquia-4-habitaciones-2-banos/23586-M6925956,Más de 20 años,3,2026-09-11
21417-M7039113,"{'id': '2', 'nombre': 'Casa'}",880000000,127.0,127.0,2,2,2,"{'id': '4416', 'nombre': 'Bello'}",,NA,Amazonia,584000.0,Ku0026#39;STAINMOBILIARIA  S.A.S,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-casa-bello-na-2-habitaciones-2-banos-2-garajes/21417-M7039113,Entre 10 y 20 años,4,2026-09-11
21417-M6130208,"{'id': '2', 'nombre': 'Casa'}",520000000,70.0,70.0,3,2,0,"{'id': '4416', 'nombre': 'Bello'}",,UB  SAN FRANCISCO ET  III,Niquia,,Ku0026#39;STAINMOBILIARIA  S.A.S,Usado,"{'lon': -75.540794, 'lat': 6.3439536}",https://www.metrocuadrado.com/inmueble/venta-casa-bello-ub.-san-francisco-et.-iii-3-habitaciones-2-banos/21417-M6130208,Entre 0 y 5 años,4,2026-09-11
23074-M6753638,"{'id': '2', 'nombre': 'Casa'}",620000000,97.56,97.56,5,4,0,"{'id': '4416', 'nombre': 'Bello'}",,NA,Serramonte,,ARRENDAMIENTOS ALNAGO ,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-casa-bello-na-5-habitaciones-4-banos/23074-M6753638,Más de 20 años,3,2026-09-11
4673-M6581005,"{'id': '2', 'nombre': 'Casa'}",650000000,41.24,41.24,5,3,0,"{'id': '4416', 'nombre': 'Bello'}",,SERRAMONTE,Serramonte,,ALBERTO ALVAREZ,Usado,"{'lon': -75.571014, 'lat': 6.3261156}",https://www.metrocuadrado.com/inmueble/venta-casa-bello-serramonte-5-habitaciones-3-banos/4673-M6581005,Más de 20 años,3,2026-09-11
12133-M5474296,"{'id': '2', 'nombre': 'Casa'}",1750000000,225.0,225.0,3,4,4,"{'id': '4416', 'nombre': 'Bello'}",,NIQUIA,Niquia,550000.0,RENTA RAIZ SOLUCIONES INMOBILIARIAS,Usado,"{'lon': -75.55173, 'lat': 6.31696}",https://www.metrocuadrado.com/inmueble/venta-casa-bello-niquia-3-habitaciones-4-banos-4-garajes/12133-M5474296,Entre 5 y 10 años,5,2026-09-11
11813-M4732205,"{'id': '2', 'nombre': 'Casa'}",450000000,143.0,143.0,5,2,0,"{'id': '4416', 'nombre': 'Bello'}",,BELLO,Bello,,Houm,Usado,"{'lon': -75.55686, 'lat': 6.3402505}",https://www.metrocuadrado.com/inmueble/venta-casa-bello-bello-5-habitaciones-2-banos/11813-M4732205,Entre 10 y 20 años,3,2026-09-11
20033-M6387960,"{'id': '2', 'nombre': 'Casa'}",1800000000,394.0,394.0,4,5,4,"{'id': '4416', 'nombre': 'Bello'}",,NA,Norteamerica,291000.0,AGENCIA INMOBILIARIA,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-casa-bello-na-4-habitaciones-5-banos-4-garajes/20033-M6387960,Entre 5 y 10 años,6,2026-09-11
23074-M6753901,"{'id': '2', 'nombre': 'Casa'}",270000000,38.4,115.2,3,2,0,"{'id': '4416', 'nombre': 'Bello'}",,PLAYA RICA,Playa Rica,,ARRENDAMIENTOS ALNAGO ,Usado,"{'lon': -75.56127, 'lat': 6.346639}",https://www.metrocuadrado.com/inmueble/venta-casa-bello-playa-rica-3-habitaciones-2-banos/23074-M6753901,Más de 20 años,3,2026-09-11
