propertyId,propertyType,salePrice,area,areac,rooms,bathrooms,garages,city,zone,neighborhood,commonNeighborhood,adminPrice,companyName,propertyState,coordinates,link,builtTime,stratum,Extraction Date
159-M5998256,"{'id': '2', 'nombre': 'Casa'}",709000000,216.0,216.0,5,3,2,"{'id': '1', 'nombre': 'Bogotá D.C.'}","{'id': '4', 'nombre': 'Occidental'}",POPULAR MODELO,MODELO NORTE,0.0,VENDO TU CASA SERVICIOS INMOBILIARIOS,Usado,"{'lon': -74.08082, 'lat': 4.668345}",https://www.metrocuadrado.com/inmueble/venta-casa-bogota-popular-modelo-5-habitaciones-3-banos-2-garajes/159-M5998256,Más de 20 años,4,2025-09-10
3576-M6011184,"{'id': '2', 'nombre': 'Casa'}",830000000,180.0,180.0,4,3,3,"{'id': '1', 'nombre': 'Bogotá D.C.'}","{'id': '4', 'nombre': 'Occidental'}",QUINTA PAREDES,QUINTA PAREDES,0.0,Ventas y Servicios Inmobiliarios,Usado,"{'lon': -74.09312, 'lat': 4.63444}",https://www.metrocuadrado.com/inmueble/venta-casa-bogota-quinta-paredes-4-habitaciones-3-banos-3-garajes/3576-M6011184,Más de 20 años,4,2025-09-10
3576-M5995771,"{'id': '2', 'nombre': 'Casa'}",1080000000,163.0,163.0,3,3,4,"{'id': '1', 'nombre': 'Bogotá D.C.'}","{'id': '3', 'nombre': 'Noroccidente'}",MONACO,BATAN,0.0,Ventas y Servicios Inmobiliarios,Usado,"{'lon': -74.060814, 'lat': 4.7038}",https://www.metrocuadrado.com/inmueble/venta-casa-bogota-monaco-3-habitaciones-3-banos-4-garajes/3576-M5995771,Más de 20 años,5,2025-09-10
MC5994795,"{'id': '2', 'nombre': 'Casa'}",500000000,159.0,178.0,5,1,1,"{'id': '1', 'nombre': 'Bogotá D.C.'}","{'id': '6', 'nombre': 'Sur'}",LAGUNETA,venecia occidental tunjuelito   Rafael Uribe Uribe Tunjuelito,,,Usado,"{'lon': -74.1432, 'lat': 4.5894184}",https://www.metrocuadrado.com/inmueble/venta-casa-bogota-laguneta-5-habitaciones-1-banos-1-garajes/MC5994795,Más de 20 años,3,2025-09-10
20546-M6039718,"{'id': '2', 'nombre': 'Casa'}",800000000,161.0,190.0,4,3,2,"{'id': '1', 'nombre': 'Bogotá D.C.'}","{'id': '4', 'nombre': 'Occidental'}",MANDALAY ET II,MANDALAY,0.0,Emerson Inmobiliaria ,Usado,"{'lon': -74.14135, 'lat': 4.6303988}",https://www.metrocuadrado.com/inmueble/venta-casa-bogota-mandalay-et-ii-4-habitaciones-3-banos-2-garajes/20546-M6039718,Más de 20 años,4,2025-09-10
12633-M4891279,"{'id': '2', 'nombre': 'Casa'}",650000000,144.97,320.8,5,4,1,"{'id': '1', 'nombre': 'Bogotá D.C.'}","{'id': '4', 'nombre': 'Occidental'}",LA ESTRADITA,LA ESTRADA,0.0,INGEACCI - AVALUOS E INGENIERIA S.A.S.,Usado,"{'lon': -74.09264, 'lat': 4.675192}",https://www.metrocuadrado.com/inmueble/venta-casa-bogota-la-estradita-5-habitaciones-4-banos-1-garajes/12633-M4891279,Más de 20 años,3,2025-09-10
20674-M6003937,"{'id': '2', 'nombre': 'Casa'}",596907000,160.0,160.0,3,3,1,"{'id': '1', 'nombre': 'Bogotá D.C.'}","{'id': '4', 'nombre': 'Occidental'}",UNIDAD CARABELAS,CIUDAD MONTES,0.0,ORLANDO MAURICIO PINILLA  UMAÑA,Usado,"{'lon': -74.11823, 'lat': 4.605408}",https://www.metrocuadrado.com/inmueble/venta-casa-bogota-unidad-carabelas-3-habitaciones-3-banos-1-garajes/20674-M6003937,Entre 10 y 20 años,3,2025-09-10
20100-M5773528,"{'id': '2', 'nombre': 'Casa'}",1150000000,189.0,211.0,4,3,3,"{'id': '1', 'nombre': 'Bogotá D.C.'}",,CERROS DE SUBA,Cerros De Suba,1405000.0,ADRIANA MARCELA GONZALEZ BELTRAN,Usado,"{'lon': -74.08113, 'lat': 4.732731}",https://www.metrocuadrado.com/inmueble/venta-casa-bogota-cerros-de-suba-4-habitaciones-3-banos-3-garajes/20100-M5773528,Entre 10 y 20 años,6,2025-09-10
MC5852345,"{'id': '2', 'nombre': 'Casa'}",850000000,156.6,234.1,5,4,2,"{'id': '1', 'nombre': 'Bogotá D.C.'}","{'id': '4', 'nombre': 'Occidental'}",BOSQUE POPULAR,BOSQUE POPULAR   Engativá,0.0,,Usado,"{'lon': -74.09575, 'lat': 4.671918}",https://www.metrocuadrado.com/inmueble/venta-casa-bogota-bosque-popular-5-habitaciones-4-banos-2-garajes/MC5852345,Más de 20 años,3,2025-09-10
20260-M6028780,"{'id': '2', 'nombre': 'Casa'}",326000000,73.0,73.0,3,2,1,"{'id': '1', 'nombre': 'Bogotá D.C.'}","{'id': '3', 'nombre': 'Noroccidente'}",CR QUINTAS DE SAN PEDRO ET III,mirandela,280000.0,EDWARD CASTILLO  SALAS ,Usado,"{'lon': -74.04875, 'lat': 4.768162}",https://www.metrocuadrado.com/inmueble/venta-casa-bogota-cr-quintas-de-san-pedro-et-iii-3-habitaciones-2-banos-1-garajes/20260-M6028780,Más de 20 años,3,2025-09-10
