propertyId,propertyType,salePrice,area,areac,rooms,bathrooms,garages,city,zone,neighborhood,commonNeighborhood,adminPrice,companyName,propertyState,coordinates,link,builtTime,stratum,Extraction Date
13094-M4856166,"{'id': '2', 'nombre': 'Casa'}",2570000000,384.0,384.0,4,5,4,"{'id': '4444', 'nombre': 'Envigado'}",,NA,Loma El Atravesado,880000.0,INMOBILIARIA SELECTA,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-casa-envigado-na-4-habitaciones-5-banos-4-garajes/13094-M4856166,Entre 10 y 20 años,6,2025-07-06
19698-M5810339,"{'id': '2', 'nombre': 'Casa'}",1400000000,232.0,232.0,4,5,2,"{'id': '4444', 'nombre': 'Envigado'}",,NA,Cumbres Envigado,816000.0, Cruma Propiedad Raíz,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-casa-envigado-na-4-habitaciones-5-banos-2-garajes/19698-M5810339,Más de 20 años,5,2025-07-06
20219-M5784863,"{'id': '2', 'nombre': 'Casa'}",4200000000,6400.0,420.0,5,5,4,"{'id': '4444', 'nombre': 'Envigado'}",,NA,Colombia Antioquia Medellin Palmas Envigado,1500000.0,INMOLUXURY REALTY,Usado,"{'lon': -75.51963, 'lat': 6.169569}",https://www.metrocuadrado.com/inmueble/venta-casa-envigado-na-5-habitaciones-5-banos-4-garajes/20219-M5784863,Entre 10 y 20 años,5,2025-07-06
17029-M5845094,"{'id': '2', 'nombre': 'Casa'}",1250000000,288.0,288.0,3,3,4,"{'id': '4444', 'nombre': 'Envigado'}","{'id': '102', 'nombre': 'Otros'}",LA MESA,La Sebastiana,928000.0,INTERCAMBIO INMOBILIARIO,Usado,"{'lon': -75.5828, 'lat': 6.165686}",https://www.metrocuadrado.com/inmueble/venta-casa-envigado-la-mesa-3-habitaciones-3-banos-4-garajes/17029-M5845094,Más de 20 años,5,2025-07-06
17029-M5840083,"{'id': '2', 'nombre': 'Casa'}",2550000000,250.0,250.0,3,4,4,"{'id': '4444', 'nombre': 'Envigado'}","{'id': '102', 'nombre': 'Otros'}",,El escobero,430000.0,INTERCAMBIO INMOBILIARIO,Usado,"{'lon': -75.56542, 'lat': 6.1539526}",https://www.metrocuadrado.com/inmueble/venta-casa-envigado-3-habitaciones-4-banos-4-garajes/17029-M5840083,Entre 5 y 10 años,5,2025-07-06
687-M4960906,"{'id': '2', 'nombre': 'Casa'}",3515000000,274.0,274.0,3,4,4,"{'id': '4444', 'nombre': 'Envigado'}",,ENVIGADO,ENVIGADO,1474765.0,PROINTEGRAL SA,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-casa-envigado-envigado-3-habitaciones-4-banos-4-garajes/687-M4960906,Entre 0 y 5 años,6,2025-07-06
19322-M5794382,"{'id': '2', 'nombre': 'Casa'}",3000000000,1980.0,450.0,4,4,3,"{'id': '4444', 'nombre': 'Envigado'}",,NA,Alto De Palmas,953000.0,INFINITY Du0026D S.A.S,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-casa-envigado-na-4-habitaciones-4-banos-3-garajes/19322-M5794382,Entre 0 y 5 años,4,2025-07-06
20215-M5791058,"{'id': '2', 'nombre': 'Casa'}",1550000000,280.0,280.0,4,5,4,"{'id': '4444', 'nombre': 'Envigado'}","{'id': '102', 'nombre': 'Otros'}",ENVIGADO,,759000.0, Sandra Echeverri propiedad raíz,Usado,"{'lon': -75.58453, 'lat': 6.168716}",https://www.metrocuadrado.com/inmueble/venta-casa-envigado-envigado-4-habitaciones-5-banos-4-garajes/20215-M5791058,Entre 10 y 20 años,5,2025-07-06
17593-M5200047,"{'id': '2', 'nombre': 'Casa'}",4300000000,270.82,270.82,3,4,4,"{'id': '4444', 'nombre': 'Envigado'}",,NA,Alto De Las Palmas,884807.0,IDEAL REAL ESTATE,Usado,"{'lon': -75.53835, 'lat': 6.153893}",https://www.metrocuadrado.com/inmueble/venta-casa-envigado-na-3-habitaciones-4-banos-4-garajes/17593-M5200047,Entre 0 y 5 años,6,2025-07-06
687-M3983810,"{'id': '2', 'nombre': 'Casa'}",7000000000,1000.0,1000.0,5,5,4,"{'id': '4444', 'nombre': 'Envigado'}",,ENVIGADO,ENVIGADO,2000000.0,PROINTEGRAL SA,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-casa-envigado-envigado-5-habitaciones-5-banos-4-garajes/687-M3983810,Entre 5 y 10 años,6,2025-07-06
