propertyId,propertyType,salePrice,area,areac,rooms,bathrooms,garages,city,zone,neighborhood,commonNeighborhood,adminPrice,companyName,propertyState,coordinates,link,builtTime,stratum,Extraction Date
2511-M6015398,"{'id': '2', 'nombre': 'Casa'}",1800000000,300.0,300.0,5,4,2,"{'id': '3', 'nombre': 'Medellín'}","{'id': '35', 'nombre': 'Noroccidente'}",CUARTA BRIGADA,Estadio,,RASKCIELOS INMOBILIARIA Y CONSTRUCTORA,Usado,"{'lon': -75.58726, 'lat': 6.2614613}",https://www.metrocuadrado.com/inmueble/venta-casa-medellin-cuarta-brigada-5-habitaciones-4-banos-2-garajes/2511-M6015398,Entre 0 y 5 años,5,2025-09-12
20860-M6026448,"{'id': '2', 'nombre': 'Casa'}",530000000,120.0,120.0,4,3,0,"{'id': '3', 'nombre': 'Medellín'}","{'id': '35', 'nombre': 'Noroccidente'}",LOS PINOS,LA AMERICA,0.0,Casabuena,Usado,"{'lon': -75.599365, 'lat': 6.250534}",https://www.metrocuadrado.com/inmueble/venta-casa-medellin-los-pinos-4-habitaciones-3-banos/20860-M6026448,Más de 20 años,4,2025-09-12
20452-M5854804,"{'id': '2', 'nombre': 'Casa'}",1040000000,155.0,155.0,3,3,1,"{'id': '3', 'nombre': 'Medellín'}",,ENVIGADO,Envigado,675000.0,PROPIEDADES Tu0026J,Usado,"{'lon': -75.54834, 'lat': 6.2501984}",https://www.metrocuadrado.com/inmueble/venta-casa-medellin-envigado-3-habitaciones-3-banos-1-garajes/20452-M5854804,Entre 0 y 5 años,5,2025-09-12
19698-M5678363,"{'id': '2', 'nombre': 'Casa'}",1700000000,371.0,371.0,5,5,2,"{'id': '3', 'nombre': 'Medellín'}",,NA,Las Palmas El Poblado,1232000.0, Cruma Propiedad Raíz,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-casa-medellin-na-5-habitaciones-5-banos-2-garajes/19698-M5678363,Más de 20 años,6,2025-09-12
19797-M5987212,"{'id': '2', 'nombre': 'Casa'}",1190000000,216.0,216.0,4,3,2,"{'id': '3', 'nombre': 'Medellín'}",,EL POBLADO,El Poblado,900000.0,HOMES INMOBILIARIA,Usado,"{'lon': -75.56166, 'lat': 6.1969028}",https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-poblado-4-habitaciones-3-banos-2-garajes/19797-M5987212,Entre 5 y 10 años,5,2025-09-12
687-M5813023,"{'id': '2', 'nombre': 'Casa'}",3450000000,540.0,540.0,3,5,2,"{'id': '3', 'nombre': 'Medellín'}","{'id': '102', 'nombre': 'Otros'}",LOS BALSOS NO1,EL POBLADO,1300000.0,PROINTEGRAL SA,Usado,"{'lon': -75.564896, 'lat': 6.189465}",https://www.metrocuadrado.com/inmueble/venta-casa-medellin-los-balsos-no1-3-habitaciones-5-banos-2-garajes/687-M5813023,Más de 20 años,6,2025-09-12
687-M5359705,"{'id': '2', 'nombre': 'Casa'}",2530000000,361.0,361.0,3,5,4,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",SAN LUCAS,EL POBLADO,1340000.0,PROINTEGRAL SA,Usado,"{'lon': -75.564415, 'lat': 6.1798325}",https://www.metrocuadrado.com/inmueble/venta-casa-medellin-san-lucas-3-habitaciones-5-banos-4-garajes/687-M5359705,Entre 5 y 10 años,5,2025-09-12
19797-M5979913,"{'id': '2', 'nombre': 'Casa'}",3950000000,587.0,538.0,5,5,4,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",PATIO BONITO,Poblado El Campestre,1120000.0,HOMES INMOBILIARIA,Usado,"{'lon': -75.57338, 'lat': 6.204208}",https://www.metrocuadrado.com/inmueble/venta-casa-medellin-patio-bonito-5-habitaciones-5-banos-4-garajes/19797-M5979913,Entre 10 y 20 años,6,2025-09-12
19797-M5991116,"{'id': '2', 'nombre': 'Casa'}",2400000000,355.0,260.0,3,4,4,"{'id': '3', 'nombre': 'Medellín'}",,EL POBLADO,El Poblado,997000.0,HOMES INMOBILIARIA,Usado,"{'lon': -75.55664, 'lat': 6.2016277}",https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-poblado-3-habitaciones-4-banos-4-garajes/19797-M5991116,Más de 20 años,6,2025-09-12
19698-M5678384,"{'id': '2', 'nombre': 'Casa'}",7500000000,6400.0,493.0,4,5,4,"{'id': '3', 'nombre': 'Medellín'}","{'id': '36', 'nombre': 'Nororiente'}",LAS PALMAS,Las Palmas El Poblado,1200000.0, Cruma Propiedad Raíz,Usado,"{'lon': -75.56593, 'lat': 6.240578}",https://www.metrocuadrado.com/inmueble/venta-casa-medellin-las-palmas-4-habitaciones-5-banos-4-garajes/19698-M5678384,Entre 5 y 10 años,6,2025-09-12
687-M2770392,"{'id': '2', 'nombre': 'Casa'}",1220000000,266.0,266.0,3,3,4,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",LOS BALSOS No 1,EL POBLADO,1000000.0,PROINTEGRAL SA,Usado,"{'lon': -75.55903, 'lat': 6.1847725}",https://www.metrocuadrado.com/inmueble/venta-casa-medellin-los-balsos-no.1-3-habitaciones-3-banos-4-garajes/687-M2770392,Más de 20 años,6,2025-09-12
687-M2608452,"{'id': '2', 'nombre': 'Casa'}",3600000000,355.0,355.0,3,4,4,"{'id': '3', 'nombre': 'Medellín'}",,EL POBLADO,EL POBLADO,1180000.0,PROINTEGRAL SA,Usado,"{'lon': -75.66134, 'lat': 6.180877}",https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-poblado-3-habitaciones-4-banos-4-garajes/687-M2608452,Entre 10 y 20 años,6,2025-09-12
19698-M5678338,"{'id': '2', 'nombre': 'Casa'}",1900000000,310.0,252.0,4,5,3,"{'id': '3', 'nombre': 'Medellín'}",,NA,Las Lomas El Poblado,865000.0, Cruma Propiedad Raíz,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-casa-medellin-na-4-habitaciones-5-banos-3-garajes/19698-M5678338,Más de 20 años,6,2025-09-12
19797-M5979915,"{'id': '2', 'nombre': 'Casa'}",3800000000,1580.0,350.0,3,4,4,"{'id': '3', 'nombre': 'Medellín'}","{'id': '36', 'nombre': 'Nororiente'}",LAS PALMAS,Alto De Las Palmas,980000.0,HOMES INMOBILIARIA,Usado,"{'lon': -75.56593, 'lat': 6.240578}",https://www.metrocuadrado.com/inmueble/venta-casa-medellin-las-palmas-3-habitaciones-4-banos-4-garajes/19797-M5979915,Entre 0 y 5 años,6,2025-09-12
2571-M5994092,"{'id': '2', 'nombre': 'Casa'}",2800000000,300.0,300.0,4,4,4,"{'id': '3', 'nombre': 'Medellín'}","{'id': '102', 'nombre': 'Otros'}",ALTOS DEL POBLADO,ALTOS DEL POBLADO,1200000.0,INNOVACIÓN INMOBILIARIA S.A.S.,Usado,"{'lon': -75.561516, 'lat': 6.2204695}",https://www.metrocuadrado.com/inmueble/venta-casa-medellin-altos-del-poblado-4-habitaciones-4-banos-4-garajes/2571-M5994092,Entre 10 y 20 años,6,2025-09-12
19014-M6037013,"{'id': '2', 'nombre': 'Casa'}",3500000000,292.0,292.0,4,5,4,"{'id': '3', 'nombre': 'Medellín'}",,POBLADO,Poblado,1457000.0,LIENZO REAL ESTATE,Usado,"{'lon': -75.55333, 'lat': 6.197599}",https://www.metrocuadrado.com/inmueble/venta-casa-medellin-poblado-4-habitaciones-5-banos-4-garajes/19014-M6037013,Más de 20 años,6,2025-09-12
19875-M5912531,"{'id': '2', 'nombre': 'Casa'}",810000000,139.3,139.2,4,4,2,"{'id': '3', 'nombre': 'Medellín'}","{'id': '37', 'nombre': 'Suroccidente'}",LA GLORIA,LOMA DE LOS BERNAL,630000.0,CESAR AUGUSTO SUESCUN HENAO,Usado,"{'lon': -75.60107, 'lat': 6.2218285}",https://www.metrocuadrado.com/inmueble/venta-casa-medellin-la-gloria-4-habitaciones-4-banos-2-garajes/19875-M5912531,Más de 20 años,5,2025-09-12
20219-M5994261,"{'id': '2', 'nombre': 'Casa'}",2650000000,260.0,260.0,4,3,4,"{'id': '3', 'nombre': 'Medellín'}",,LAS PALMAS CASA CAMPESTRE,Las Palmas Casa Campestre,650000.0,INMOLUXURY REALTY,Usado,"{'lon': -75.49419, 'lat': 6.1007233}",https://www.metrocuadrado.com/inmueble/venta-casa-medellin-las-palmas-casa-campestre-4-habitaciones-3-banos-4-garajes/20219-M5994261,Entre 5 y 10 años,5,2025-09-12
19797-M5980091,"{'id': '2', 'nombre': 'Casa'}",2500000000,407.0,407.0,5,5,4,"{'id': '3', 'nombre': 'Medellín'}",,ENVIGADO,Envigado,280000.0,HOMES INMOBILIARIA,Usado,"{'lon': -75.56522, 'lat': 6.2268887}",https://www.metrocuadrado.com/inmueble/venta-casa-medellin-envigado-5-habitaciones-5-banos-4-garajes/19797-M5980091,Entre 10 y 20 años,5,2025-09-12
20543-M5980753,"{'id': '2', 'nombre': 'Casa'}",6500000000,1750.0,700.0,3,5,4,"{'id': '3', 'nombre': 'Medellín'}",,LA CALERA,La Calera,,NATHALIA MARTINEZ MEJIA,Usado,"{'lon': -75.550186, 'lat': 6.2010236}",https://www.metrocuadrado.com/inmueble/venta-casa-medellin-la-calera-3-habitaciones-5-banos-4-garajes/20543-M5980753,Entre 5 y 10 años,6,2025-09-12
