propertyId,propertyType,salePrice,area,areac,rooms,bathrooms,garages,city,zone,neighborhood,commonNeighborhood,adminPrice,companyName,propertyState,coordinates,link,builtTime,stratum,Extraction Date
18055-M5756819,"{'id': '3', 'nombre': 'Oficina'}",150000000,36.0,36.0,,1,0,"{'id': '4416', 'nombre': 'Bello'}",,SC  EL CONSUMO,Niquia,296000.0,ARRENDAMIENTOS PROMOBIENES,Usado,"{'lon': -75.54495, 'lat': 6.33984}",https://www.metrocuadrado.com/inmueble/venta-oficina-bello-sc.-el-consumo-1-banos/18055-M5756819,Entre 10 y 20 años,4,2025-07-15
10310-M5800454,"{'id': '3', 'nombre': 'Oficina'}",110000000,19.0,19.0,,1,0,"{'id': '4416', 'nombre': 'Bello'}",,CIUDADELA DEL NORTE,Centro Comercial Estacion Niquia,130000.0,VIVE HOME PROPIEDAD RAIZ,Usado,"{'lon': -75.54543, 'lat': 6.33964}",https://www.metrocuadrado.com/inmueble/venta-oficina-bello-ciudadela-del-norte-1-banos/10310-M5800454,Entre 5 y 10 años,4,2025-07-15
12782-M5629899,"{'id': '3', 'nombre': 'Oficina'}",120000000,22.5,22.5,,1,0,"{'id': '4416', 'nombre': 'Bello'}",,ZONA COMERCIAL PUERTA DEL NORTE 1 Y 2,Niquia,130000.0,SUINMOBILIARIA,Usado,"{'lon': -75.544815, 'lat': 6.3393726}",https://www.metrocuadrado.com/inmueble/venta-oficina-bello-zona-comercial-puerta-del-norte-1-y-2-1-banos/12782-M5629899,Más de 20 años,3,2025-07-15
10310-M5800496,"{'id': '3', 'nombre': 'Oficina'}",120000000,18.0,18.0,,1,0,"{'id': '4416', 'nombre': 'Bello'}",,ZONA COMERCIAL PUERTA DEL NORTE 1 Y 2,Centro Comercial Estacion Niquia,81000.0,VIVE HOME PROPIEDAD RAIZ,Usado,"{'lon': -75.54239, 'lat': 6.34055}",https://www.metrocuadrado.com/inmueble/venta-oficina-bello-zona-comercial-puerta-del-norte-1-y-2-1-banos/10310-M5800496,Entre 5 y 10 años,3,2025-07-15
12782-M4257173,"{'id': '3', 'nombre': 'Oficina'}",200000000,20.0,20.0,,1,0,"{'id': '4416', 'nombre': 'Bello'}",,ZONA COMERCIAL PUERTA DEL NORTE 1 Y 2,Niquia,,SUINMOBILIARIA,Usado,"{'lon': -75.544716, 'lat': 6.338537}",https://www.metrocuadrado.com/inmueble/venta-oficina-bello-zona-comercial-puerta-del-norte-1-y-2-1-banos/12782-M4257173,Entre 10 y 20 años,6,2025-07-15
12782-M5539074,"{'id': '3', 'nombre': 'Oficina'}",130000000,27.0,27.0,,1,0,"{'id': '4416', 'nombre': 'Bello'}",,ZONA COMERCIAL PUERTA DEL NORTE 1 Y 2,Niquia,150000.0,SUINMOBILIARIA,Usado,"{'lon': -75.545044, 'lat': 6.33959}",https://www.metrocuadrado.com/inmueble/venta-oficina-bello-zona-comercial-puerta-del-norte-1-y-2-1-banos/12782-M5539074,Más de 20 años,6,2025-07-15
10310-M5800404,"{'id': '3', 'nombre': 'Oficina'}",150000000,28.15,28.15,,1,0,"{'id': '4416', 'nombre': 'Bello'}",,CIUDADELA DEL NORTE,Centro Comercial Estacion Niquia,155000.0,VIVE HOME PROPIEDAD RAIZ,Usado,"{'lon': -75.54543, 'lat': 6.33964}",https://www.metrocuadrado.com/inmueble/venta-oficina-bello-ciudadela-del-norte-1-banos/10310-M5800404,Entre 5 y 10 años,3,2025-07-15
12782-M5539104,"{'id': '3', 'nombre': 'Oficina'}",140000000,33.5,33.5,,1,0,"{'id': '4416', 'nombre': 'Bello'}",,ZONA COMERCIAL PUERTA DEL NORTE 1 Y 2,Niquia,160000.0,SUINMOBILIARIA,Usado,"{'lon': -75.545044, 'lat': 6.33959}",https://www.metrocuadrado.com/inmueble/venta-oficina-bello-zona-comercial-puerta-del-norte-1-y-2-1-banos/12782-M5539104,Más de 20 años,6,2025-07-15
2214-M5766648,"{'id': '3', 'nombre': 'Oficina'}",110000000,22.0,22.0,,,0,"{'id': '4416', 'nombre': 'Bello'}",,CIUDAD NIQUIA,Niquia,269000.0,ACRECER SAS,Usado,"{'lon': -75.54769, 'lat': 6.344141}",https://www.metrocuadrado.com/inmueble/venta-oficina-bello-ciudad-niquia/2214-M5766648,Entre 10 y 20 años,0,2025-07-15
12782-M4475261,"{'id': '3', 'nombre': 'Oficina'}",290000000,54.0,54.0,,0,0,"{'id': '4416', 'nombre': 'Bello'}",,ZONA COMERCIAL PUERTA DEL NORTE 1 Y 2,Niquia,277500.0,SUINMOBILIARIA,Usado,"{'lon': -75.54488, 'lat': 6.339717}",https://www.metrocuadrado.com/inmueble/venta-oficina-bello-zona-comercial-puerta-del-norte-1-y-2/12782-M4475261,Más de 20 años,6,2025-07-15
12782-M5539102,"{'id': '3', 'nombre': 'Oficina'}",115000000,20.0,20.0,,1,0,"{'id': '4416', 'nombre': 'Bello'}",,CIUDADELA DEL NORTE,Niquia,125000.0,SUINMOBILIARIA,Usado,"{'lon': -75.547844, 'lat': 6.3368063}",https://www.metrocuadrado.com/inmueble/venta-oficina-bello-ciudadela-del-norte-1-banos/12782-M5539102,Entre 5 y 10 años,6,2025-07-15
12782-M5654256,"{'id': '3', 'nombre': 'Oficina'}",130000000,28.0,28.0,,1,0,"{'id': '4416', 'nombre': 'Bello'}",,ZONA COMERCIAL PUERTA DEL NORTE 1 Y 2,Niquia,,SUINMOBILIARIA,Usado,"{'lon': -75.54488, 'lat': 6.339717}",https://www.metrocuadrado.com/inmueble/venta-oficina-bello-zona-comercial-puerta-del-norte-1-y-2-1-banos/12782-M5654256,Entre 5 y 10 años,6,2025-07-15
18714-M5534207,"{'id': '3', 'nombre': 'Oficina'}",290000000,46.36,46.36,,1,1,"{'id': '4416', 'nombre': 'Bello'}",,PANAMERICANO,Niquia,628000.0,URVE INMOBILIARIA  COLOMBIA S.A.S,Usado,"{'lon': -75.54988, 'lat': 6.336873}",https://www.metrocuadrado.com/inmueble/venta-oficina-bello-panamericano-1-banos-1-garajes/18714-M5534207,Entre 5 y 10 años,3,2025-07-15
10310-M5800438,"{'id': '3', 'nombre': 'Oficina'}",150000000,6.0,6.0,,,0,"{'id': '4416', 'nombre': 'Bello'}",,CIUDADELA DEL NORTE,Centro Comercial Beillin Bello,,VIVE HOME PROPIEDAD RAIZ,Usado,"{'lon': -75.54696, 'lat': 6.33992}",https://www.metrocuadrado.com/inmueble/venta-oficina-bello-ciudadela-del-norte/10310-M5800438,Entre 5 y 10 años,3,2025-07-15
10310-M5800485,"{'id': '3', 'nombre': 'Oficina'}",279000000,54.0,54.0,,1,0,"{'id': '4416', 'nombre': 'Bello'}",,ZONA COMERCIAL PUERTA DEL NORTE 1 Y 2,Centro Comercial Estacion Niquia,308300.0,VIVE HOME PROPIEDAD RAIZ,Usado,"{'lon': -75.54239, 'lat': 6.34055}",https://www.metrocuadrado.com/inmueble/venta-oficina-bello-zona-comercial-puerta-del-norte-1-y-2-1-banos/10310-M5800485,Entre 5 y 10 años,4,2025-07-15
18714-M5534265,"{'id': '3', 'nombre': 'Oficina'}",300000000,48.68,48.68,,1,1,"{'id': '4416', 'nombre': 'Bello'}",,PANAMERICANO,Niquia,628000.0,URVE INMOBILIARIA  COLOMBIA S.A.S,Usado,"{'lon': -75.54987, 'lat': 6.3369503}",https://www.metrocuadrado.com/inmueble/venta-oficina-bello-panamericano-1-banos-1-garajes/18714-M5534265,Entre 5 y 10 años,3,2025-07-15
12782-M4355389,"{'id': '3', 'nombre': 'Oficina'}",118000000,22.0,22.0,,1,0,"{'id': '4416', 'nombre': 'Bello'}",,ZONA COMERCIAL PUERTA DEL NORTE 1 Y 2,Niquia,,SUINMOBILIARIA,Usado,"{'lon': -75.54521, 'lat': 6.3396473}",https://www.metrocuadrado.com/inmueble/venta-oficina-bello-zona-comercial-puerta-del-norte-1-y-2-1-banos/12782-M4355389,Entre 5 y 10 años,3,2025-07-15
12257-M4636888,"{'id': '3', 'nombre': 'Oficina'}",460000000,143.0,143.0,,3,0,"{'id': '4416', 'nombre': 'Bello'}",,MANCHESTER,Parque,,LA LONJA SAS,Usado,"{'lon': -75.557976, 'lat': 6.3336897}",https://www.metrocuadrado.com/inmueble/venta-oficina-bello-manchester-3-banos/12257-M4636888,Entre 0 y 5 años,3,2025-07-15
