propertyId,propertyType,salePrice,area,areac,rooms,bathrooms,garages,city,zone,neighborhood,commonNeighborhood,adminPrice,companyName,propertyState,coordinates,link,builtTime,stratum,Extraction Date
20321-M6091973,"{'id': '3', 'nombre': 'Oficina'}",779125600,335.83,335.83,,5,0,"{'id': '9', 'nombre': 'Manizales'}",,AVENIDA DEL CENTRO,Avenida Del Centro,,Giraldo Castaño Seguros y Arrendamientos,Usado,"{'lon': -75.51648, 'lat': 5.06897}",https://www.metrocuadrado.com/inmueble/venta-oficina-manizales-avenida-del-centro-5-banos/20321-M6091973,Más de 20 años,7,2026-03-01
778-M4606364,"{'id': '3', 'nombre': 'Oficina'}",401895000,61.83,61.83,,1,1,"{'id': '9', 'nombre': 'Manizales'}",,AVENIDA SANTANDER,Avenida Santander,773778.0,Millan y Asociados Inmobiliaria sas,Usado,"{'lon': -75.486855, 'lat': 5.058877}",https://www.metrocuadrado.com/inmueble/venta-oficina-manizales-avenida-santander-1-banos-1-garajes/778-M4606364,Entre 10 y 20 años,6,2026-03-01
778-M6072642,"{'id': '3', 'nombre': 'Oficina'}",170000000,21.92,21.92,,1,1,"{'id': '9', 'nombre': 'Manizales'}",,VERSALLES,Versalles,131000.0,Millan y Asociados Inmobiliaria sas,Usado,"{'lon': -75.52156, 'lat': 5.065664}",https://www.metrocuadrado.com/inmueble/venta-oficina-manizales-versalles-1-banos-1-garajes/778-M6072642,Más de 20 años,6,2026-03-01
3229-M4493234,"{'id': '3', 'nombre': 'Oficina'}",298000000,40.0,40.0,,1,0,"{'id': '9', 'nombre': 'Manizales'}","{'id': '99', 'nombre': 'Norte'}",LOS ROSALES,Avenida Santander,159000.0,COMMODITY ASESORIAS SAS,Usado,"{'lon': -75.49084, 'lat': 5.0612135}",https://www.metrocuadrado.com/inmueble/venta-oficina-manizales-los-rosales-1-banos/3229-M4493234,Más de 20 años,5,2026-03-01
11295-M5803257,"{'id': '3', 'nombre': 'Oficina'}",580857000,276.0,276.0,,2,1,"{'id': '9', 'nombre': 'Manizales'}","{'id': '100', 'nombre': 'Sur'}",EL CENTRO,EL CENTRO,0.0,NC BUSINESS,Usado,"{'lon': -75.51872, 'lat': 5.0681806}",https://www.metrocuadrado.com/inmueble/venta-oficina-manizales-el-centro-2-banos-1-garajes/11295-M5803257,Entre 0 y 5 años,4,2026-03-01
22157-M6427002,"{'id': '3', 'nombre': 'Oficina'}",270000000,80.5,80.5,,1,0,"{'id': '9', 'nombre': 'Manizales'}",,CENTRO,Centro,, Villegas Ocampo Propiedad Raiz,Usado,"{'lon': -75.51849, 'lat': 5.0665145}",https://www.metrocuadrado.com/inmueble/venta-oficina-manizales-centro-1-banos/22157-M6427002,Entre 0 y 5 años,7,2026-03-01
20321-M6091972,"{'id': '3', 'nombre': 'Oficina'}",135000000,35.0,35.0,,,0,"{'id': '9', 'nombre': 'Manizales'}",,CENTRO,Centro,,Giraldo Castaño Seguros y Arrendamientos,Usado,"{'lon': -75.50277, 'lat': 5.06297}",https://www.metrocuadrado.com/inmueble/venta-oficina-manizales-centro/20321-M6091972,Más de 20 años,7,2026-03-01
20321-M6406762,"{'id': '3', 'nombre': 'Oficina'}",1000000000,216.0,216.0,,4,0,"{'id': '9', 'nombre': 'Manizales'}",,CENTRO,Centro,,Giraldo Castaño Seguros y Arrendamientos,Usado,"{'lon': -75.51532, 'lat': 5.06707}",https://www.metrocuadrado.com/inmueble/venta-oficina-manizales-centro-4-banos/20321-M6406762,Más de 20 años,6,2026-03-01
22157-M6426890,"{'id': '3', 'nombre': 'Oficina'}",150000000,56.85,56.82,,4,0,"{'id': '9', 'nombre': 'Manizales'}",,CENTRO,Centro,712000.0, Villegas Ocampo Propiedad Raiz,Usado,"{'lon': -75.518684, 'lat': 5.0689244}",https://www.metrocuadrado.com/inmueble/venta-oficina-manizales-centro-4-banos/22157-M6426890,Más de 20 años,4,2026-03-01
22157-M6426870,"{'id': '3', 'nombre': 'Oficina'}",85000000,31.82,31.82,,0,0,"{'id': '9', 'nombre': 'Manizales'}",,CENTRO,Centro,261000.0, Villegas Ocampo Propiedad Raiz,Usado,"{'lon': -75.51902, 'lat': 5.067719}",https://www.metrocuadrado.com/inmueble/venta-oficina-manizales-centro/22157-M6426870,Más de 20 años,4,2026-03-01
