propertyId,propertyType,salePrice,area,areac,rooms,bathrooms,garages,city,zone,neighborhood,commonNeighborhood,adminPrice,companyName,propertyState,coordinates,link,builtTime,stratum,Extraction Date
4229-M4464280,"{'id': '8', 'nombre': 'Bodega'}",4845700000,1031.0,1031.0,,1,3,"{'id': '4438', 'nombre': 'Copacabana'}",,COPACABANA,Copacabana,,ARRENDAMIENTOS UMBRAL S.A.S.,Usado,"{'lon': -75.50508, 'lat': 6.35762}",https://www.metrocuadrado.com/inmueble/venta-bodega-copacabana-copacabana-1-banos-3-garajes/4229-M4464280,Entre 0 y 5 años,2,2025-11-01
4229-M4464277,"{'id': '8', 'nombre': 'Bodega'}",4330200000,1031.0,1031.0,,1,0,"{'id': '4438', 'nombre': 'Copacabana'}",,COPACABANA,Copacabana,,ARRENDAMIENTOS UMBRAL S.A.S.,Usado,"{'lon': -75.50508, 'lat': 6.35762}",https://www.metrocuadrado.com/inmueble/venta-bodega-copacabana-copacabana-1-banos/4229-M4464277,Entre 0 y 5 años,2,2025-11-01
4229-M4412016,"{'id': '8', 'nombre': 'Bodega'}",11432709000,2220.0,2796.0,,3,3,"{'id': '4438', 'nombre': 'Copacabana'}",,COPACABANA,Copacabana,,ARRENDAMIENTOS UMBRAL S.A.S.,Usado,"{'lon': -75.50508, 'lat': 6.35762}",https://www.metrocuadrado.com/inmueble/venta-bodega-copacabana-copacabana-3-banos-3-garajes/4229-M4412016,Entre 0 y 5 años,2,2025-11-01
4229-M4462986,"{'id': '8', 'nombre': 'Bodega'}",2879500000,734.0,734.0,,1,0,"{'id': '4438', 'nombre': 'Copacabana'}",,COPACABANA,Copacabana,,ARRENDAMIENTOS UMBRAL S.A.S.,Usado,"{'lon': -75.50508, 'lat': 6.35762}",https://www.metrocuadrado.com/inmueble/venta-bodega-copacabana-copacabana-1-banos/4229-M4462986,Entre 0 y 5 años,2,2025-11-01
5136-M4517067,"{'id': '8', 'nombre': 'Bodega'}",2184000000,520.0,520.0,,4,0,"{'id': '4438', 'nombre': 'Copacabana'}",,COPACABANA,Copacabana,,Abad Faciolince  S.A,Usado,"{'lon': -75.49593, 'lat': 6.36046}",https://www.metrocuadrado.com/inmueble/venta-bodega-copacabana-copacabana-4-banos/5136-M4517067,Más de 20 años,7,2025-11-01
18237-M5541936,"{'id': '8', 'nombre': 'Bodega'}",2016000000,448.0,448.0,,1,0,"{'id': '4438', 'nombre': 'Copacabana'}",,COPACABANA,Copacabana,,NEGOCIOS CON PROPOSITO,Usado,"{'lon': -75.497665, 'lat': 6.330097}",https://www.metrocuadrado.com/inmueble/venta-bodega-copacabana-copacabana-1-banos/18237-M5541936,Entre 0 y 5 años,5,2025-11-01
14785-M5327348,"{'id': '8', 'nombre': 'Bodega'}",3400000000,300.0,300.0,,2,0,"{'id': '4438', 'nombre': 'Copacabana'}",,NA,Copacabana,,GUIAS INMOBILIARIOS,Usado,,https://www.metrocuadrado.com/inmueble/venta-bodega-copacabana-na-2-banos/14785-M5327348,Entre 10 y 20 años,7,2025-11-01
16254-M4636257,"{'id': '8', 'nombre': 'Bodega'}",4842585000,1080.0,1080.0,,0,0,"{'id': '4438', 'nombre': 'Copacabana'}",,NA,Copacabana,,COLOMBIANA DE TENENCIA DE BIENES S.A.S.,Usado,"{'lon': -75.49453, 'lat': 6.33039}",https://www.metrocuadrado.com/inmueble/venta-bodega-copacabana-na/16254-M4636257,Entre 0 y 5 años,7,2025-11-01
18237-M5480057,"{'id': '8', 'nombre': 'Bodega'}",3500000000,850.0,800.0,,5,4,"{'id': '4438', 'nombre': 'Copacabana'}",,NA,Copacabana,,NEGOCIOS CON PROPOSITO,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-bodega-copacabana-na-5-banos-4-garajes/18237-M5480057,Entre 10 y 20 años,3,2025-11-01
17616-M6072790,"{'id': '8', 'nombre': 'Bodega'}",2600000000,536.0,536.0,,4,3,"{'id': '4438', 'nombre': 'Copacabana'}",,NA,Copacabana,,A PLACE TO LIVE S.A.S,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-bodega-copacabana-na-4-banos-3-garajes/17616-M6072790,Entre 0 y 5 años,6,2025-11-01
18237-M5391230,"{'id': '8', 'nombre': 'Bodega'}",3500000000,850.0,800.0,,5,4,"{'id': '4438', 'nombre': 'Copacabana'}",,NA,Copacabana,,NEGOCIOS CON PROPOSITO,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-bodega-copacabana-na-5-banos-4-garajes/18237-M5391230,Entre 10 y 20 años,3,2025-11-01
19259-M5617016,"{'id': '6', 'nombre': 'Local Comercial'}",160000000,80.0,80.0,,2,0,"{'id': '4438', 'nombre': 'Copacabana'}",,CRISTO REY,Copacabana,,INMOBILIARIA GOMEZ Y ASOCIADOS S.A.S.,Usado,"{'lon': -75.50682, 'lat': 6.34274}",https://www.metrocuadrado.com/inmueble/venta-local-comercial-copacabana-cristo-rey-2-banos/19259-M5617016,Entre 0 y 5 años,3,2025-11-01
10710-M5663085,"{'id': '6', 'nombre': 'Local Comercial'}",1300000000,350.0,350.0,,2,0,"{'id': '4438', 'nombre': 'Copacabana'}",,PEDRERA MIRADOR AZUL,Copacabana,,CUADRA POR CUADRA S.A.S,Usado,"{'lon': -75.50626, 'lat': 6.34889}",https://www.metrocuadrado.com/inmueble/venta-local-comercial-copacabana-pedrera-mirador-azul-2-banos/10710-M5663085,Más de 20 años,3,2025-11-01
18756-M5540109,"{'id': '6', 'nombre': 'Local Comercial'}",1800000000,240.0,240.0,,1,0,"{'id': '4438', 'nombre': 'Copacabana'}",,NA,El Obrero  Copacabana Antioquia,,MARGARITA MUÑOZ REAL ESTATE,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-local-comercial-copacabana-na-1-banos/18756-M5540109,Entre 0 y 5 años,3,2025-11-01
20033-M6106137,"{'id': '8', 'nombre': 'Bodega'}",3500000000,800.0,800.0,,,4,"{'id': '4438', 'nombre': 'Copacabana'}",,NA,Otros,,AGENCIA INMOBILIARIA,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-bodega-copacabana-na-4-garajes/20033-M6106137,Entre 5 y 10 años,3,2025-11-01
11614-M4936478,"{'id': '8', 'nombre': 'Bodega'}",2600000000,530.0,530.0,,0,0,"{'id': '4438', 'nombre': 'Copacabana'}",,VARIANTE,Variante,,BODEGAS Y ESPACIOS,Usado,"{'lon': -75.497536, 'lat': 6.3603964}",https://www.metrocuadrado.com/inmueble/venta-bodega-copacabana-variante/11614-M4936478,Entre 0 y 5 años,1,2025-11-01
14115-M6094600,"{'id': '6', 'nombre': 'Local Comercial'}",550000000,124.0,124.0,,2,0,"{'id': '4438', 'nombre': 'Copacabana'}",,LA ASUNCION,La Asuncion,,RIALES PROPIEDAD RAIZ,Usado,"{'lon': -75.50682, 'lat': 6.34572}",https://www.metrocuadrado.com/inmueble/venta-local-comercial-copacabana-la-asuncion-2-banos/14115-M6094600,Entre 0 y 5 años,3,2025-11-01
16254-M4984895,"{'id': '8', 'nombre': 'Bodega'}",2600000000,411.75,511.75,,2,0,"{'id': '4438', 'nombre': 'Copacabana'}",,NA,Vereda El Noral,,COLOMBIANA DE TENENCIA DE BIENES S.A.S.,Usado,,https://www.metrocuadrado.com/inmueble/venta-bodega-copacabana-na-2-banos/16254-M4984895,Entre 5 y 10 años,7,2025-11-01
13934-M6060804,"{'id': '8', 'nombre': 'Bodega'}",4948800000,1031.0,1031.0,,2,0,"{'id': '4438', 'nombre': 'Copacabana'}",,NA,Vereda El Llano,,A u0026B INMOBILIARIA,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-bodega-copacabana-na-2-banos/13934-M6060804,Entre 0 y 5 años,7,2025-11-01
11614-M4941380,"{'id': '8', 'nombre': 'Bodega'}",1692000000,940.0,940.0,,0,0,"{'id': '4438', 'nombre': 'Copacabana'}",,ACTIVIDAD MULTIPLE,Copa Cabana,,BODEGAS Y ESPACIOS,Usado,"{'lon': -75.50517, 'lat': 6.3518953}",https://www.metrocuadrado.com/inmueble/venta-bodega-copacabana-actividad-multiple/11614-M4941380,Entre 0 y 5 años,1,2025-11-01
16254-M5950726,"{'id': '8', 'nombre': 'Bodega'}",3000000000,3800.0,1000.0,,,0,"{'id': '4438', 'nombre': 'Copacabana'}",,VEREDA CABUYAL,Vereda Cabuyal,,COLOMBIANA DE TENENCIA DE BIENES S.A.S.,Usado,"{'lon': -75.49767, 'lat': 6.33005}",https://www.metrocuadrado.com/inmueble/venta-bodega-copacabana-vereda-cabuyal/16254-M5950726,Más de 20 años,7,2025-11-01
