propertyId,propertyType,salePrice,area,areac,rooms,bathrooms,garages,city,zone,neighborhood,commonNeighborhood,adminPrice,companyName,propertyState,coordinates,link,builtTime,stratum,Extraction Date
14785-M5985693,"{'id': '8', 'nombre': 'Bodega'}",4500000000,975,975,,5,0,"{'id': '4448', 'nombre': 'Girardota'}",,GIRARDOTA,Girardota,,GUIAS INMOBILIARIOS,Usado,"{'lon': -73.74993, 'lat': 7.33337}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-girardota-5-banos/14785-M5985693,Entre 10 y 20 años,7,2026-08-29
20635-M6194676,"{'id': '8', 'nombre': 'Bodega'}",11000000000,2087,2233,,,,"{'id': '4448', 'nombre': 'Girardota'}","{'id': '102', 'nombre': 'Otros'}",,,1130000.0,RETAIL INMOBILIARIO SAS,Usado,"{'lon': -75.48048, 'lat': 6.3798995}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota/20635-M6194676,Entre 0 y 5 años,7,2026-08-29
14785-M6340037,"{'id': '8', 'nombre': 'Bodega'}",4037000000,734,734,,4,0,"{'id': '4448', 'nombre': 'Girardota'}",,VEREDA LA MATA GIRARDOTA,Vereda La Mata Girardota,,GUIAS INMOBILIARIOS,Usado,"{'lon': -75.45155, 'lat': 6.38702}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-vereda-la-mata-girardota-4-banos/14785-M6340037,Entre 10 y 20 años,7,2026-08-29
17287-M6708780,"{'id': '8', 'nombre': 'Bodega'}",3360500000,517,517,,2,0,"{'id': '4448', 'nombre': 'Girardota'}",,VEREDA LA MATA GIRARDOTA,Vereda La Mata Girardota,,ELITE GROUP BODEGAS SAS,Usado,"{'lon': -73.8125, 'lat': 4.89999}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-vereda-la-mata-girardota-2-banos/17287-M6708780,Entre 10 y 20 años,7,2026-08-29
14785-M6375231,"{'id': '8', 'nombre': 'Bodega'}",1422400000,254,254,,3,0,"{'id': '4448', 'nombre': 'Girardota'}",,VEREDA LA MATA GIRARDOTA,Vereda La Mata Girardota,,GUIAS INMOBILIARIOS,Usado,"{'lon': -75.45155, 'lat': 6.38702}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-vereda-la-mata-girardota-3-banos/14785-M6375231,Entre 10 y 20 años,7,2026-08-29
20033-M5773860,"{'id': '8', 'nombre': 'Bodega'}",10425000000,2233,2233,,,4,"{'id': '4448', 'nombre': 'Girardota'}",,NA,Otros,1200000.0,AGENCIA INMOBILIARIA,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-na-4-garajes/20033-M5773860,Entre 5 y 10 años,3,2026-08-29
11614-M5987585,"{'id': '8', 'nombre': 'Bodega'}",3550000000,745,745,,5,0,"{'id': '4448', 'nombre': 'Girardota'}",,NA,Variante,,BODEGAS Y ESPACIOS,Usado,,https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-na-5-banos/11614-M5987585,Entre 0 y 5 años,1,2026-08-29
11614-M5434308,"{'id': '8', 'nombre': 'Bodega'}",6050000000,1250,1250,,5,4,"{'id': '4448', 'nombre': 'Girardota'}",,VARIANTE,Variante,,BODEGAS Y ESPACIOS,Usado,"{'lon': -75.44035, 'lat': 6.41713}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-variante-5-banos-4-garajes/11614-M5434308,Entre 0 y 5 años,1,2026-08-29
11614-M5809265,"{'id': '8', 'nombre': 'Bodega'}",2895000000,520,520,,5,0,"{'id': '4448', 'nombre': 'Girardota'}",,VARIANTE,Variante,,BODEGAS Y ESPACIOS,Usado,"{'lon': -75.460335, 'lat': 6.3851156}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-variante-5-banos/11614-M5809265,Entre 0 y 5 años,1,2026-08-29
11614-M5771846,"{'id': '8', 'nombre': 'Bodega'}",2500000000,430,430,,5,4,"{'id': '4448', 'nombre': 'Girardota'}",,NA,Variante,,BODEGAS Y ESPACIOS,Usado,,https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-na-5-banos-4-garajes/11614-M5771846,Entre 0 y 5 años,1,2026-08-29
11067-M6057205,"{'id': '8', 'nombre': 'Bodega'}",5000000000,900,900,,5,4,"{'id': '4448', 'nombre': 'Girardota'}",,VEREDA PORTACHUELO,Vereda Portachuelo,,HERENCIA INMOBILIARIA SAS,Usado,"{'lon': -75.44598, 'lat': 6.377381}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-vereda-portachuelo-5-banos-4-garajes/11067-M6057205,Entre 0 y 5 años,7,2026-08-29
18223-M5655921,"{'id': '6', 'nombre': 'Local Comercial'}",300000000,116,116,,1,1,"{'id': '4448', 'nombre': 'Girardota'}",,SANTA ANA,Santa Ana,,Asejuri Inmobiliaria,Usado,"{'lon': -75.445564, 'lat': 6.3774242}",https://www.metrocuadrado.com/inmueble/venta-local-comercial-girardota-santa-ana-1-banos-1-garajes/18223-M5655921,Entre 0 y 5 años,2,2026-08-29
