propertyId,propertyType,salePrice,area,areac,rooms,bathrooms,garages,city,zone,neighborhood,commonNeighborhood,adminPrice,companyName,propertyState,coordinates,link,builtTime,stratum,Extraction Date
18237-M5830250,"{'id': '6', 'nombre': 'Local Comercial'}",555000000,40.43,40.43,,0,0,"{'id': '4461', 'nombre': 'La Estrella'}",,LA ESTRELLA,La Estrella,1269950.0,NEGOCIOS CON PROPOSITO,Usado,"{'lon': -75.63662, 'lat': 6.151145}",https://www.metrocuadrado.com/inmueble/venta-local-comercial-la-estrella-la-estrella/18237-M5830250,Entre 0 y 5 años,5,2025-12-15
687-M3292466,"{'id': '6', 'nombre': 'Local Comercial'}",530000000,50.0,50.0,,,,"{'id': '4461', 'nombre': 'La Estrella'}",,LA ESTRELLA,LA ESTRELLA,542400.0,PROINTEGRAL SA,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-local-comercial-la-estrella-la-estrella/687-M3292466,Entre 0 y 5 años,3,2025-12-15
14785-M4535659,"{'id': '8', 'nombre': 'Bodega'}",10670400000,2223.0,2223.0,,1,0,"{'id': '4461', 'nombre': 'La Estrella'}",,LA ESTRELLA,La Estrella,,GUIAS INMOBILIARIOS,Usado,"{'lon': -75.63662, 'lat': 6.15114}",https://www.metrocuadrado.com/inmueble/venta-bodega-la-estrella-la-estrella-1-banos/14785-M4535659,Entre 10 y 20 años,4,2025-12-15
687-M5770189,"{'id': '8', 'nombre': 'Bodega'}",6800000000,1160.0,1160.0,,,,"{'id': '4461', 'nombre': 'La Estrella'}","{'id': '102', 'nombre': 'Otros'}",,LA ESTRELLA,0.0,PROINTEGRAL SA,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-bodega-la-estrella/687-M5770189,Entre 5 y 10 años,4,2025-12-15
687-M5587269,"{'id': '8', 'nombre': 'Bodega'}",4667000000,718.0,718.0,,,,"{'id': '4461', 'nombre': 'La Estrella'}","{'id': '102', 'nombre': 'Otros'}",CALDAS,LA ESTRELLA,0.0,PROINTEGRAL SA,Usado,"{'lon': -75.636284, 'lat': 6.1008334}",https://www.metrocuadrado.com/inmueble/venta-bodega-la-estrella-caldas/687-M5587269,Entre 0 y 5 años,4,2025-12-15
11614-M5095579,"{'id': '8', 'nombre': 'Bodega'}",3900000000,736.0,736.0,,2,2,"{'id': '4461', 'nombre': 'La Estrella'}",,INDUSTRIAL,La Estrella,,BODEGAS Y ESPACIOS,Usado,"{'lon': -75.63271, 'lat': 6.152673}",https://www.metrocuadrado.com/inmueble/venta-bodega-la-estrella-industrial-2-banos-2-garajes/11614-M5095579,Entre 0 y 5 años,1,2025-12-15
21136-M6163582,"{'id': '6', 'nombre': 'Local Comercial'}",850000000,76.0,76.0,,1,0,"{'id': '4461', 'nombre': 'La Estrella'}",,LOS HORIZONTES,La Estrella,,INMOBILIARIA LA ESTRELLA ,Usado,"{'lon': -75.64422, 'lat': 6.1607175}",https://www.metrocuadrado.com/inmueble/venta-local-comercial-la-estrella-los-horizontes-1-banos/21136-M6163582,Entre 0 y 5 años,7,2025-12-15
16187-M5349380,"{'id': '6', 'nombre': 'Local Comercial'}",155000000,11.6,11.6,,0,0,"{'id': '4461', 'nombre': 'La Estrella'}",,CENTRO,Estrella,186000.0,SM Real Estate,Usado,"{'lon': -75.64357, 'lat': 6.159858}",https://www.metrocuadrado.com/inmueble/venta-local-comercial-la-estrella-centro/16187-M5349380,Entre 0 y 5 años,3,2025-12-15
20784-M6000945,"{'id': '6', 'nombre': 'Local Comercial'}",520000000,110.0,110.0,,2,1,"{'id': '9', 'nombre': 'Manizales'}",,LA ESTRELLA,La Estrella,,Inmobiliaria Lucia Prada,Usado,"{'lon': -75.48976, 'lat': 5.0600433}",https://www.metrocuadrado.com/inmueble/venta-local-comercial-manizales-la-estrella-2-banos-1-garajes/20784-M6000945,Entre 0 y 5 años,5,2025-12-15
16187-M5349448,"{'id': '6', 'nombre': 'Local Comercial'}",195000000,20.22,20.22,,0,0,"{'id': '4461', 'nombre': 'La Estrella'}",,CENTRO,Estrella,340100.0,SM Real Estate,Usado,"{'lon': -75.64357, 'lat': 6.159858}",https://www.metrocuadrado.com/inmueble/venta-local-comercial-la-estrella-centro/16187-M5349448,Entre 0 y 5 años,3,2025-12-15
