propertyId,propertyType,salePrice,area,areac,rooms,bathrooms,garages,city,zone,neighborhood,commonNeighborhood,adminPrice,companyName,propertyState,coordinates,link,builtTime,stratum,Extraction Date
13957-M5354778,"{'id': '3', 'nombre': 'Oficina'}",560000000,146,146,,3,0,"{'id': '3', 'nombre': 'Medellín'}","{'id': '35', 'nombre': 'Noroccidente'}",SAN JOAQUIN,Laureles,,Coninsa Inmobiliaria,Usado,"{'lon': -75.586075, 'lat': 6.2431135}",https://www.metrocuadrado.com/inmueble/venta-oficina-medellin-san-joaquin-3-banos/13957-M5354778,Entre 10 y 20 años,5,2025-05-30
13957-M5590601,"{'id': '3', 'nombre': 'Oficina'}",425000000,35,35,,1,1,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",ASTORGA,Astorga,,Coninsa Inmobiliaria,Usado,"{'lon': -75.575134, 'lat': 6.208472}",https://www.metrocuadrado.com/inmueble/venta-oficina-medellin-astorga-1-banos-1-garajes/13957-M5590601,Entre 10 y 20 años,7,2025-05-30
687-M5377350,"{'id': '3', 'nombre': 'Oficina'}",390000000,45,45,,1,1,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",CASTROPOL,EL POBLADO,520000.0,PROINTEGRAL SA,Usado,"{'lon': -75.56695, 'lat': 6.2161098}",https://www.metrocuadrado.com/inmueble/venta-oficina-medellin-castropol-1-banos-1-garajes/687-M5377350,Entre 5 y 10 años,6,2025-05-30
687-M4504176,"{'id': '3', 'nombre': 'Oficina'}",1360000000,662,662,,5,0,"{'id': '3', 'nombre': 'Medellín'}","{'id': '37', 'nombre': 'Suroccidente'}",FATIMA,BELEN,0.0,PROINTEGRAL SA,Usado,"{'lon': -75.58274, 'lat': 6.237036}",https://www.metrocuadrado.com/inmueble/venta-oficina-medellin-fatima-5-banos/687-M4504176,Entre 0 y 5 años,3,2025-05-30
687-M4262602,"{'id': '3', 'nombre': 'Oficina'}",10000000000,1000,1000,,4,4,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",PATIO BONITO,EL POBLADO,2800000.0,PROINTEGRAL SA,Usado,"{'lon': -75.57304, 'lat': 6.2062073}",https://www.metrocuadrado.com/inmueble/venta-oficina-medellin-patio-bonito-4-banos-4-garajes/687-M4262602,Entre 10 y 20 años,6,2025-05-30
687-M5782553,"{'id': '3', 'nombre': 'Oficina'}",820000000,160,160,,5,2,"{'id': '3', 'nombre': 'Medellín'}","{'id': '35', 'nombre': 'Noroccidente'}",EL VELODROMO,LAURELES,0.0,PROINTEGRAL SA,Usado,"{'lon': -75.59679, 'lat': 6.2551875}",https://www.metrocuadrado.com/inmueble/venta-oficina-medellin-el-velodromo-5-banos-2-garajes/687-M5782553,Más de 20 años,5,2025-05-30
687-M3346128,"{'id': '3', 'nombre': 'Oficina'}",6500000000,500,500,,2,4,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",VILLA CARLOTA,EL POBLADO,0.0,PROINTEGRAL SA,Usado,"{'lon': -75.56973, 'lat': 6.216189}",https://www.metrocuadrado.com/inmueble/venta-oficina-medellin-villa-carlota-2-banos-4-garajes/687-M3346128,Entre 0 y 5 años,6,2025-05-30
12116-M3820454,"{'id': '3', 'nombre': 'Oficina'}",1350000000,210,210,,2,1,"{'id': '3', 'nombre': 'Medellín'}","{'id': '35', 'nombre': 'Noroccidente'}",LA AMERICA,LA FLORESTA,0.0,GRUPO INMOBILIARIO CABAL SAS,Usado,"{'lon': -75.60177, 'lat': 6.252162}",https://www.metrocuadrado.com/inmueble/venta-oficina-medellin-la-america-2-banos-1-garajes/12116-M3820454,Entre 5 y 10 años,5,2025-05-30
687-M3897551,"{'id': '3', 'nombre': 'Oficina'}",650000000,74,74,,2,2,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",LOS NARANJOS,EL POBLADO,758000.0,PROINTEGRAL SA,Usado,"{'lon': -75.55937, 'lat': 6.199004}",https://www.metrocuadrado.com/inmueble/venta-oficina-medellin-los-naranjos-2-banos-2-garajes/687-M3897551,Entre 5 y 10 años,6,2025-05-30
687-M4448934,"{'id': '3', 'nombre': 'Oficina'}",350000000,78,78,,2,0,"{'id': '3', 'nombre': 'Medellín'}","{'id': '37', 'nombre': 'Suroccidente'}",AEROPARQUE JUAN PABLO II,GUAYABAL,0.0,PROINTEGRAL SA,Usado,"{'lon': -75.58696, 'lat': 6.2155685}",https://www.metrocuadrado.com/inmueble/venta-oficina-medellin-aeroparque-juan-pablo-ii-2-banos/687-M4448934,Más de 20 años,4,2025-05-30
