Closets,adminPrice,area,areac,bathrooms,city,commonNeighborhood,companyName,coordinates,garages,link,neighborhood,propertyId,propertyState,propertyType,rooms,salePrice,stratum,zone,First Extraction Date,Last Extraction Date,builtTime_min_year,builtTime_max_year
,,50.0,50.0,1,"{'id': '4448', 'nombre': 'Girardota'}",Girardota,INMOBILIARIA GOMEZ Y ASOCIADOS S.A.S.,"{'lon': -75.44919, 'lat': 6.37043}",,https://www.metrocuadrado.com/inmueble/venta-apartamento-girardota-a.s.d.-1-habitaciones-1-banos-1-garajes/19259-M5617207,A S D ,19259-M5617207,Usado,"{'id': '1', 'nombre': 'Apartamento'}",1,225000000.0,3,,2025-04-03,2026-03-30,2026,2021
,139300.0,50.0,50.0,1,"{'id': '4448', 'nombre': 'Girardota'}",Alcazares,RED Real Estate Digital,"{'lon': -75.45017, 'lat': 6.3701844}",,https://www.metrocuadrado.com/inmueble/venta-apartamento-girardota-a.s.d.-1-habitaciones-1-banos-1-garajes/9947-M5651405,A S D ,9947-M5651405,Usado,"{'id': '1', 'nombre': 'Apartamento'}",1,225000000.0,4,,2025-03-29,2025-04-21,2020,2015
,,50.0,50.0,1,"{'id': '4448', 'nombre': 'Girardota'}",Otros,RED Real Estate Digital,"{'lon': -75.45017, 'lat': 6.3701844}",,https://www.metrocuadrado.com/inmueble/venta-apartamento-girardota-a.s.d.-1-habitaciones-1-banos-1-garajes/9947-M5628323,A S D ,9947-M5628323,Usado,"{'id': '1', 'nombre': 'Apartamento'}",1,225000000.0,4,,2025-03-07,2025-04-21,2020,2015
,,50.0,50.0,1,"{'id': '4448', 'nombre': 'Girardota'}",Girardota,MAXIBIENES SAS,"{'lon': -75.45067, 'lat': 6.36977}",,https://www.metrocuadrado.com/inmueble/venta-apartamento-girardota-a.s.d.-1-habitaciones-1-banos-1-garajes/11166-M5445283,A S D ,11166-M5445283,Usado,"{'id': '1', 'nombre': 'Apartamento'}",1,230000000.0,3,,2025-01-09,2025-07-10,2025,2020
,,50.0,50.0,1,"{'id': '4448', 'nombre': 'Girardota'}",Girardota,MAXIBIENES SAS,"{'lon': -75.45067, 'lat': 6.36977}",,https://www.metrocuadrado.com/inmueble/venta-apartamento-girardota-a.s.d.-1-habitaciones-1-banos-1-garajes/11166-M5282558,A S D ,11166-M5282558,Usado,"{'id': '1', 'nombre': 'Apartamento'}",1,210000000.0,4,,2025-01-09,2025-07-10,2025,2020
,,57.0,57.0,1,"{'id': '4414', 'nombre': 'Barbosa'}",Barbosa,MAXIBIENES SAS,"{'lon': -75.33182, 'lat': 6.43795}",,https://www.metrocuadrado.com/inmueble/venta-apartamento-barbosa-santa-monica-1-habitaciones-1-banos/11166-M5463965,SANTA MÓNICA,11166-M5463965,Usado,"{'id': '1', 'nombre': 'Apartamento'}",1,150000000.0,3,,2025-02-11,2025-04-30,2025,2020
,,38.0,38.0,1,"{'id': '4456', 'nombre': 'Itagui'}",ITAGÜÍ  SAN GABRIEL,INMOBILIAREA,"{'lon': 0, 'lat': 0}",,https://www.metrocuadrado.com/inmueble/venta-apartamento-itagui-itagui-san-gabriel-1-habitaciones-1-banos/12792-M4500756,ITAGÜÍ  SAN GABRIEL,12792-M4500756,Usado,"{'id': '1', 'nombre': 'Apartamento'}",1,450000000.0,2,,2025-01-09,2026-04-23,2026,2021
,330000.0,67.0,67.0,2,"{'id': '4456', 'nombre': 'Itagui'}",Suramerica,AGENCIA INMOBILIARIA,"{'lon': 0, 'lat': 0}",,https://www.metrocuadrado.com/inmueble/venta-apartamento-itagui-na-1-habitaciones-2-banos-1-garajes/20033-M5778096,,20033-M5778096,Usado,"{'id': '1', 'nombre': 'Apartamento'}",1,547000000.0,3,,2025-08-02,2026-04-23,2021,2016
,330000.0,67.0,67.0,2,"{'id': '4456', 'nombre': 'Itagui'}",Suramerica,HOMES INMOBILIARIA,"{'lon': 0, 'lat': 0}",,https://www.metrocuadrado.com/inmueble/venta-apartamento-itagui-na-1-habitaciones-2-banos-1-garajes/19797-M5703124,,19797-M5703124,Usado,"{'id': '1', 'nombre': 'Apartamento'}",1,510475000.0,3,,2025-08-02,2026-04-23,2021,2016
,435000.0,60.0,60.0,2,"{'id': '4456', 'nombre': 'Itagui'}",Suramerica,PADS,"{'lon': -75.634285, 'lat': 6.163406}",,https://www.metrocuadrado.com/inmueble/venta-apartamento-itagui-ditaires-1-habitaciones-2-banos-1-garajes/847-M5667942,DITAIRES,847-M5667942,Usado,"{'id': '1', 'nombre': 'Apartamento'}",1,435000000.0,4,,2025-04-27,2026-01-13,2026,2021
